Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Burat	MEAS	meas_burat.jpg	Character	character	Troll	Minion	Uncommon	1	-	Warrior Ranger	4.0	0.0	-	5.0	8.0	-	Any non-Under-deeps Ruins & Lairs 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Manifestation of ""Bert"". May not be included with a starting company. May be played on the same turn Tuma and/or Wuluag is played. Discard on a body check result of 8. +1 prowess against Dwarves. Tap Burat to untap Tuma or Wuluag if at the same site. If Tuma and/or Wuluag is in his company, Burat's mind is reduced by one.   Home Site: Any non-Under-deeps Ruins & Lairs "
Mauhur	MEAS	meas_mauhur.jpg	Character	Leader	Orc	Minion	Rare	2	-	Warrior	5.0	0.0	-	6.0	9.0	-	Dol Guldur 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Leader. Discard on a body check result of 9. +2 direct influence against Orcs and Orc factions.  ""'Mauhur and his lads are in the forest, and they should turn up any time now.'""-LotRIII  Home Site: Dol Guldur "
Mionid	MEAS	meas_mionid.jpg	Character	character	Man	Minion	Uncommon	1	-	Warrior Ranger	4.0	0.0	-	5.0	8.0	-	Variag Camp 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against any faction playable at Variag Camp.  ""Many of the Wainriders...passed south of Mordor and made alliances with men of Khand and of Near Harad...""-LotR  Home Site: Variag Camp "
Perchen	MEAS	meas_perchen.jpg	Character	character	Man	Minion	Uncommon	2	-	Scout Diplomat	5.0	2.0	-	3.0	9.0	-	Dunnish Clan-hold 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +3 direct influence against any faction playable at Dunnish Clan-hold.  ""Dunland and Dunlending are the names that the Rohirrim gave them, because they were swarthy and dark-haired...""-LotR  Home Site: Dunnish Clan-hold "
Tuma	MEAS	meas_tuma.jpg	Character	character	Troll	Minion	Uncommon	1	-	Warrior	4.0	0.0	-	6.0	8.0	-	Any non-Under-deeps Ruins & Lairs 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Manifestation of ""Tom"". May not be included with a starting company. May be played on the same turn Burat and/or Wuluag is played. Discard on a body check result of 8. +1 prowess against Dwarves. Tap Tuma to untap Burat or Wuluag if at the same site. If Burat and/or Wuluag is in his company, Tuma's mind is reduced by one.   Home Site: Any non-Under-deeps Ruins & Lairs "
Wuluag	MEAS	meas_wuluag.jpg	Character	character	Troll	Minion	Uncommon	1	-	Warrior Scout	4.0	0.0	-	5.0	8.0	-	Any non-Under-deeps Ruins & Lairs 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Manifestation of ""William"". May not be included with a starting company. May be played on the same turn Burat and/or Tuma is played. Discard on a body check result of 8. +1 prowess against Dwarves. Tap Wuluag to untap Burat or Tuma if at the same site. If Burat and/or Tuma is in his company, Wuluag's mind is reduced by one.   Home Site: Any non-Under-deeps Ruins & Lairs "
A Lie in Your Eyes	MEAS	meas_alieinyoureyes.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on an untapped non-Ringwraith, non-Wizard character. Your opponent may either: tap the character, tap an ally the character controls, or choose for you to make a roll (draw a #). If the result is greater than the character's mind plus 6, the character is discarded (along with all cards he controls).   ""'That won't do... What did you see, and what did you say?'""-LotRIII "
Alatar the Hunter	MEAS	meas_alatarthehunter.jpg	Hazard	Creature/Permanent-event	Maia	Neutral	Rare	6	-	-	-	-	-	13.0	9.0	-	tap	unique	-	F	-	-	-	-	-	-	-	-	-	-	-	-	2.0	1.0	-	0.0	Unique. Maia. Manifestation of Alatar. Two strikes. Attacker chooses defending characters. Detainment and -3 prowess against hero companies. Discard this card if Alatar comes into play. As a creature, may also be played keyed to Andrast, Old Pukel Gap, Anfalas, Lamedon, Lebennin, Belfalas, or Anorien; or at sites in these regions. As a permanent-event, all Maia attacks receive +1 prowess and +1 strike and attacker chooses defending characters. Discard when any play deck is exhausted. 
Alone and Unadvised	MEAS	meas_aloneandunadvised.jpg	Hazard	Permanent-event	Corruption	Neutral	Common	-	-	-	-	-	-	-	-	4.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Corruption. Playable on a non-Wizard, non-Ringwraith character in a company with 3 of fewer characters. Target character makes a corruption check at the end of his movement/hazard phase for each region he moved through. All of his corruption checks are modified by adding the number of characters in his company. During his organization phase, the character may tap to attempt to remove this card by making a roll (drawing a #)-ifthe result is greater than 6, discard this card. Discard this card if his company has 4 or more characters. Cannot be duplicated on a given character. 
Come at Need	MEAS	meas_comeatneed.jpg	Hazard	Permanent-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable if you have an ally in your hand. When this card is played, place one ally from your hand ""off to the side"" with it (the ally gives no Marshaling points). The ally must be able to be attacked. If an opponent's company moves to a site where the ally is playable, it faces a single-strike attack (with no type) with the attributes of the ally, except the prowess is increased by 7. The attack is detainment if the ally and the company are both minion or both hero; and this site card is discarded afterwards. If defeated, discard this card and place the ally in your opponent's Marshaling point pile-he receives the ally's marshaling points as kill points. You may return the ally to your hand and discard this card during your organization phase. "
Durin's Folk	MEAS	meas_durinsfolk.jpg	Hazard	Creature	Dwarf Dwarves	Neutral	Common	2	-	-	-	-	-	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.0	0.0	-	0.0	"Dwarves. Five strikes. Detainment and -2 prowess against hero companies. May also be played keyed to The Shire.   ""Fathers would beg us to take their sons as apprentices, and pay us handsomely, especially in food supplies, which we never bothered to grow or find for ourselves.""-Hob "
Dwarven Travelers	MEAS	meas_dwarventravelers.jpg	Hazard	Creature	Dwarf Dwarves	Neutral	Common	1	-	-	-	-	-	8.0	-	-	-	-	-	B R	-	-	-	-	-	-	-	-	-	-	-	-	3.0	1.0	-	0.0	"Dwarves. Three strikes. Detainment against hero and covert companies. Maia hazard creatures may be keyed to Border-holds [B] or Ruins & Lairs [R] against any company that has faced Dwarven Travelers this turn.   ""'We must away, ere break of day... To find our long-forgotten gold.'"" -Hob "
Early Harvest	MEAS	meas_earlyharvest.jpg	Hazard	Short-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on a faction that is normally playable at a Border-hold [B] (except Army of the Dead). Make a roll (draw a #) modified by -1 if the faction is a minion faction. Return the faction to opponent's hand if the result plus the normal Marshaling points the faction gives is greater than 12.   ""...the vines were laden...and everywhere there was so much corn that at Harvest every barn was stuffed."" -LotRVI "
Enchanted Stream	MEAS	meas_enchantedstream.jpg	Hazard	Permanent-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Playable on a moving company with at least one Wilderness [w] in its site path. A ranger in the company can tap to cancel this card before it resolves. The company cannot voluntarily split or move to a new site unless it taps all of its untapped characters to a maximum of two during its organization phase. Discard during any organization phase if the company is at a Haven [H]/Darkhaven [V]. 
Fealty Under Trial	MEAS	meas_fealtyundertrial.jpg	Hazard	Short-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Playable on a minion in a Darkhaven [V] or Barad-dur. Make a roll (draw a #) adding the Marshaling points (as though they were stored) and corruption points of all items and events played with target minion. All items and storable events played with target minion are then automatically stored (no corruption checks are made). Then, if the result was greater than 15, discard the minion (and all other cards played with him). 
FEAR! FIRE! FOES!	MEAS	meas_fearfirefoes.jpg	Hazard	Short-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on a Free-hold [F] or Border-hold [B]. An additional automatic-attack is created at the site this turn: 5 strikes with 8 prowess (detainment, no attack type). Alternatively, playable on a detainment automatic-attack a minion company is facing. The attack becomes normal (not detainment) and has -1 prowess.  ""The Brandybucks were blowing the Horn-call of Buckland...""-LotRI "
