Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Azog	MEBA	meba_azog.jpg	Character	Leader	Orc	Balrog	Rare	2	Balrog	Warrior Diplomat	7.0	1.0	-	6.0	9.0	-	Moria, The Under-gates 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Balrog specific. Leader. Discard on a body check result of 9. +3 direct influence against Orcs and Orc factions. +2 direct influence against Balrog specific characters.   ""...he was a great Orc with a huge iron-clad head, and yet agile and strong.""-LotR  Home Site: Moria, The Under-gates "
Balrog AL	MEBA	meba_balrogal.jpg	Character	Avatar	-	Balrog	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	-
Bolg	MEBA	meba_bolg.jpg	Character	Leader	Orc	Balrog	Rare	2	Balrog	Warrior Ranger	7.0	0.0	-	7.0	9.0	-	Moria, The Under-gates 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Balrog specific. Leader. Discard on a body check result of 9. +3 direct influence against Orcs and Orc factions. +2 direct influence against Balrog specific characters.   ""'Bolg of the North is coming.'""-Hob  Home Site: Moria, The Under-gates "
Buthrakaur	MEBA	meba_buthrakaur.jpg	Character	Leader	Troll	Balrog	Rare	3	Balrog	Warrior Scout Ranger	9.0	0.0	-	8.0	9.0	-	Moria, The Under-gates 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Balrog specific. Leader. Manifestation of Buthrakaur the Green. Discard on a body check result of 9. +3 direct influence against Trolls, Orcs, Troll factions, and Orc factions. +3 direct influence against Balrog specific characters.   ""A huge arm and shoulder, with a dark skin of greenish scales, was thrust through the widening gap.""-LotRII  Home Site: Moria, The Under-gates "
Crook-legged Orc	MEBA	meba_crookleggedorc.jpg	Character	character	Orc	Balrog	Uncommon	-	Balrog	Warrior Ranger	2.0	0.0	-	3.0	7.0	-	any non-Dark-hold Under-deeps site 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Balrog specific. Discard on a body check result of 7.   ""...score of others like him: long-armed crook-legged Orcs."" -LotRIII  Home Site: any non-Dark-hold Under-deeps site "
Hill-troll	MEBA	meba_hilltroll.jpg	Character	character	Troll	Balrog	Uncommon	1	Balrog	Warrior	3.0	0.0	-	5.0	7.0	-	any non-Dark-hold Under-deeps site 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Balrog specific. Discard on a body check result of 7.   ""...clad only in close-fitting mesh of horny scales, or maybe that was their hideous hide: but they bore round bucklers huge and black and wielded heavy hammers in their knotted hands."" -LotRV  Home Site: any non-Dark-hold Under-deeps site "
Mountain-maggot	MEBA	meba_mountainmaggot.jpg	Character	character	Orc	Balrog	Common	-	Balrog	Warrior	1.0	0.0	-	3.0	7.0	-	any non-Dark-hold Under-deeps site 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Balrog specific. Discard on a body check result of 7.   ""'There's only one thing these maggots can do: they can see like gimlets in the dark."" -LotRIII  Home Site: any non-Dark-hold Under-deeps site "
Strider	MEBA	meba_strider.jpg	Character	character	Dunadan	Hero	Rare	3	-	Warrior Scout Ranger	8.0	2.0	-	6.0	9.0	-	Bree 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	Unique. Manifestation of Aragorn II. You may bring Aragorn II into play with Strider's company, removing Strider from the game and automatically transferring all cards on Strider to Aragorn II. +3 direct influence against the Rangers of the North faction. Tap Strider to search your discard pile for any one item, ally, or faction playable at his current site-the site must be in Arthedain, Cardolan, Rhudaur, or The Shire.   Home Site: Bree 
The Balrog	MEBA	meba_thebalrog.jpg	Character	Avatar	Balrog	Balrog	Common	-	Balrog	Warrior Ranger	-	6.0	-	8.0	11.0	-	The Under-gates  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Unique. Manifestation of Balrog of Moria. Discard all other manifestations of Balrog of Moria when this card comes into play. +3 to the roll for his company to move between adjacent Under-deeps sites. The Balrog's prowess is only modified by -1 when not tapping to face a strike. He may not have any followers and may not use region or starter movement.   Home Site: The Under-gates  
Umagaur	MEBA	meba_umagaur.jpg	Character	Leader	Troll	Balrog	Rare	3	Balrog	Warrior Diplomat Sage	9.0	2.0	-	7.0	9.0	-	Moria, The Under-gates 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Balrog specific. Leader. Manifestation of Umagaur the Pale. Discard on a body check result of 9. +2 direct influence against Trolls, Orcs, Troll factions, and Orc factions. +3 direct influence against Balrog specific characters.  ""'The great troll-chief that smote him down...'"" -LotRVI  Home Site: Moria, The Under-gates "
Beorning Skin-changers	MEBA	meba_beorningskinchangers.jpg	Hazard	Creature/Short-event	Animals Man Men Bears	Neutral	Rare	1	-	-	-	-	-	10.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	1.0	-	0.0	Animals. Men. Bears. Two strikes. As a creature, playable only against minion companies. May also be keyed to Anduin Vales, Western Mirkwood, Wold & Foothills, and to sites in these regions. Alternatively, playable as a short-event against a moving hero company. Unless the company contains Beorn or an untapped warrior with prowess greater than 4, it must return to its site of origin. 
Black Vapour	MEBA	meba_blackvapour.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Target any effect (Declared earlier in the same chain of effects) that would cancel a Spider attack. Make a roll and add the attack's prowess. If the result is greater than 14, the effect is canceled and the attack receives +1 prowess. Alternatively, +1 prowess to a Spider attack. This card can be revealed as an on-guard card for either effect. 
Carrion Feeders	MEBA	meba_carrionfeeders.jpg	Hazard	Creature	Animal	Neutral	Rare	1	-	-	-	-	-	9.0	-	-	-	-	-	S R	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	0.0	"Animals. Each wounded character faces one strike. All body checks resulting from successful strikes are modified by +1. Each untapped character in the company may tap to cancel a strike against a wounded character.   ""...the great bats swirled about the heads and ears of the elves and men, or fastened vampire-like on the stricken.""-Hob "
Darkness Made by Malice	MEBA	meba_darknessmadebymalice.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on a company at or moving to a Ruins & Lairs [R] or Under-deeps site, if there are more Spawn cards in play than characters in the company. Eliminated Spawn do not count. The company must do nothing during its site phase this turn.  ""Night always had been, and always would be, and night was all.""-LotRIV "
Desire All for Thy Belly	MEBA	meba_desireallforthybelly.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	To play this card, you must discard a Spawn card from your hand. Reveal to yourself a number of cards from the top of opponent's play deck equal to the number of Spawn cards in play. Eliminated Spawn do not count. Choose one card and show it to your opponent. He must choose to either: remove the card from the game or decrease the number of cards he may hold in his hand by one for the rest of the game. Shuffle and replace all remaining cards back on top of his play deck. Remove this card from the game. 
Diminish and Depart	MEBA	meba_diminishanddepart.jpg	Hazard	Permanent-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	place	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on an Elf, Hobbit, or Wizard. All Elves and Hobbits in the target's company have +1 mind, and a Wizard in the company has -1 direct influence. Tap target character at a Haven [H] during the organization phase to discard this card. Cannot be duplicated in a given company.  ""'...if all the fair folk take to to the Havens, it will be a duller world for those who are doomed to stay.'""-LotRV "
Fled into Darkness	MEBA	meba_fledintodarkness.jpg	Hazard	Permanent-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable before the strike sequence on The Balrog facing a strike with a prowess higher than his. The strike is canceled and The Balrog taps, if untapped. The next time The Balrog would otherwise untap, make him tapped instead and discard this card. Cannot be duplicated.   ""...a thing of terror...flying from Thangorodrim...""-LotR "
Glance of Arien	MEBA	meba_glanceofarien.jpg	Hazard	Short-event	Environment	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"Environment. Playable on The Balrog at or moving to a non-Under-deeps site. -2/-1 to his prowess/body until the end of turn. This modification is -4/-2 if Gates of Morning is in play. Cannot be duplicated on a given turn.   ""The Black Enemy and his servants could not endure the glance of the Sun's bright eyes."" -Kuduk Lore "
Imprisoned and Mocked	MEBA	meba_imprisonedandmocked.jpg	Hazard	Permanent-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable before strikes are assigned on a non-detainment Orc or Troll attack with more strikes than characters and allies in the company. If the attack is not canceled or defeated, make a roll following the attack adding two for each excess strike. If the result minus five is greater than the prowess of the highest mind character in the company (of your choice), place that character ""off to the side"" with this card and discard all cards on that character. Otherwise, discard this card. During that character's long-event phase, discard this card and return the characters to its owner's hand. "
Monstrosity of Diverse Shape	MEBA	meba_monstrosityofdiverseshape.jpg	Hazard	Permanent-event	Spawn	Neutral	Rare	4	-	-	-	-	-	15.0	9.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	Unique. Spawn. The Drowning-deeps and Remains of Thangorodrim each have an additional automatic-attack: Spawn-2 strikes with 15/9 prowess/body. In addition, once per turn the hazard player may use one against the hazard limit to play a Wolf or Animal hazard creature from his discard pile. This card must have already attacked the company this turn. 
Olog Warlords	MEBA	meba_ologwarlords.jpg	Hazard	Creature	Trolls	Neutral	Rare	2	-	-	-	-	-	10.0	4.0	-	-	-	-	D S	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Trolls. Three strikes (playable only against hero companies).   ""...these fell creatures would bite the throats of those that they threw down.""-LotRV "
