Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Airatano	MECA	meca_airatano.jpg	Character	character	Demon	Grey	-	3	-	Warrior Sage	8.0	2.0	-	5.0	10.0	-	Engkir	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 3; Mind: 8; DI: 2; P/B: 5/10]---W/Sa---Demon. Unique. Court Member of Ardor. He does not need to tap to play Dark-forges, Forged Below, or Reforging; only one of these cards can be on him at any given time.   tap: make any non-unique ore card playable at his current under-deeps site. You may play Delver's Harvest or Earth-eater (as if it was a normal resource) on his company at any under-deeps Ruins & Lairs [R] site.Home site: Engkir.
Ardana	MECA	meca_ardana.jpg	Character	character	Noldo Elf	Grey	-	3	-	Sage Diplomat Spirit-magic	9.0	4.0	-	4.0	10.0	-	Citadel of Ardor	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 3; Mind: 9; DI: 4; P/B: 4/10]---Sa/D---Elf. Unique. Noldo. Court Member of Ardor. Can use spirit-magic. +2 DI against elves. When Ardana is at Citadel of Ardor you may keep one more card than normal in your hand.    If bearing an Ardan Card Deck, she can tap to modify any CP by another bearer of an Ardan Card Deck by +3. Home site: Citadel of Ardor.
Ardaron	MECA	meca_ardaron.jpg	Character	character	Noldo Elf	Grey	-	1	-	Sage Diplomat Spirit-magic	4.0	2.0	-	2.0	8.0	-	Ithilkir	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 2; P/B: 2/8]---Sa/D---Elf. Unique. Noldo. Can use spirit-magic. Any Calm-song or Poison of his Voice he uses is shuffled back into the deck instead of discarded.Home site: Ithilkir.
Arduin	MECA	meca_arduin.jpg	Character	character	Kelno Elf	Grey	-	1	-	Sage Spirit-magic	3.0	0.0	-	3.0	8.0	-	Menelcarca	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 3; DI: 0; P/B: 3/8]---Sa---Elf. Unique. Kelno. Can use spirit-magic. +1 to his CP when caused by a spirit-magic card. Any Spying out the Land he uses is shuffled back into the deck instead of discarded.Home site: Menelcarca.
Arduval	MECA	meca_arduval.jpg	Character	character	Noldo Elf	Dual	-	2	-	Sage Spirit-magic	5.0	0.0	-	1.0	8.0	-	Menelcarca	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 5; DI: 0; P/B: 1/8]---Sa---Elf. Unique. Noldo. Court Member of Ardor. +2 DI against Elves. Assignment Forsaken may be played on him  as if he were a Fallen-wizard; tap shuffle one Assignment Forsaken from your sideboard into your deck. While Star of High Hope, Stars or The  Evenstar is in play he can use spirit-magic; his CP caused by spirit-magic cards receive +2. Cannot be a starting character unless you start at a site in the Uttersouth.Home site: Menelcarca.
Cambragol	MECA	meca_cambragol.jpg	Character	character	Noldo Elf	Grey	-	2	-	Warrior	6.0	1.0	-	7.0	9.0	-	Mirisgroth	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 6; DI: 1; P/B: 7/9]---W---Elf. Unique. Noldo. Court Member of Ardor.   May always be asigned 2 strikes of any attack, regardless of the his status. May use up to 2 warrior skill cards against the same strike. May take trophies as if an overt character.Home site: Mirisgroth.
Camring	MECA	meca_camring.jpg	Character	character	Noldo Elf	Dual	-	2	-	Warrior	5.0	0.0	-	6.0	8.0	-	Aurax-Dur	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 5; DI: 0; P/B: 6/8]---W---Elf. Unique. Noldo. Court Member of Ardor.   +2 prowess against Undead and Magic-users. May take Undead creatures as tropies regardless of his current alignment. May not be a starting character for the hero alignment.Home site: Aurax-Dur.
Curubor	MECA	meca_curubor.jpg	Character	character	Tatya Elf	Grey	-	1	-	Warrior Scout	4.0	1.0	-	3.0	8.0	-	Mirisgroth	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 1; P/B: 3/8]---W/Sc---Elf. Unique. Tatya. Court Member of Ardor. Ardor Agent. In a one character company during CvCC you may discard either Burglary or An Article Missing from your hand to steal a non-ring item from opponent's company.Home site: Mirisgroth.
Elendor	MECA	meca_elendor.jpg	Character	character	Tatya Elf	Grey	-	1	-	Warrior	4.0	0.0	-	5.0	7.0	-	Tirgoroth	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 0; P/B: 5/7]---W---Elf. Unique. Tatya. May use any 2 one-handed weapons at the same time. Must always be asigned the first strike of any attack regardless of her status. Requires only 3 mind to control if controled by a Court Member of Ardor.Home site: Tirgoroth.
Featur	MECA	meca_featur.jpg	Character	character	Noldo Elf	Dual	-	2	-	Warrior Sage Diplomat Spirit-magic	7.0	2.0	-	4.0	8.0	-	Engkir, Laurre's Manor	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 7; DI: 2; P/B: 4/8]---W/Sa/D---Elf. Unique. Noldo. Can use spirit-magic. Member of the Guild of Elements. + 2 DI against elves and Dunedain. A White player player may use Featur as a grey agent, for which his home site is only Laurre's Manor. He is considered a Court Member of Ardor, if the female Featur is not in play. Cannot be a starting character unless you start at a site in the Uttersouth. Home site: Engkir, Laurre's Manor.
