Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Bereth	MECP	mecp_bereth.jpg	Character	character	Man	Minion	-	[MP: 2; Mind: 5; DI: 2; P/B: 3/9]---Sc/Sa---Man. Unique. Can use spirit-magic. If at any of her home sites she may tap to bring one Variag Priestress from your discard pile toyour hand.Home site: Lugarlur, Temple of Kondri Odchi.	2	-	Scout Sage Spirit-magic	5.0	2.0	-	3.0	9.0	-	Lugarlur, Temple of Kondri Odchi	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Bharam	MECP	mecp_bharam.jpg	Character	character	Man	Minion	-	[MP: 2; Mind: 7; DI: 2; P/B: 4/9]---W/R---Man. Unique. If a manifestation of Ren the Unclean or Uvatha the Horseman is in play: +1 to his prowess and DI and he becomes a leader.   -1 to the body of any Dragon or Drake strike he faces.Home site: Ulk Chey Sart, Ulk Jey Ama.	2	-	Warrior Ranger	7.0	2.0	-	4.0	9.0	-	Ulk Chey Sart, Ulk Jey Ama	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Caerlinc	MECP	mecp_caerlinc.jpg	Character	character	Man	Hero	-	[MP: 0; Mind: 1; DI: 0; P/B: 3/7]---R---Man. Unique. Home site: Riavod, Shrel-Kain.	-	-	Ranger	1.0	0.0	-	3.0	7.0	-	Riavod, Shrel-Kain	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Daurukh	MECP	mecp_daurukh.jpg	Character	character	Man	Dual	-	[MP: 1; Mind: 4; DI: 0; P/B: 5/8]---W/Sc---Man. Unique. +2 DI against factions playable at his home sites. If at a Border-hold other than his home sites, you may discard a Blasting Fire, Dwarven Fire, or Liquid Fire to take one Tempest of fire or Burning Rick, Cot and Tree from your discard pile to your hand.Home site: Nuriag Camp, Raider-hold.	1	-	Warrior Scout	4.0	0.0	-	5.0	8.0	-	Nuriag Camp, Raider-hold	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Gabmog the Dimwitted	MECP	mecp_gabmogthedimwitted.jpg	Character	character	Orc	Minion	-	[MP: 1; Mind: 4; DI: 0; P/B: 5/8]---W---Orc. Unique. Leader. +2 DI against Orcs. +1 prowess against Dwarves. Discard on a body check of 8.    Gabmog must be chosen for any riddling roll in his company.Home site: Gaurblog Lug.	1	-	Warrior	4.0	0.0	-	5.0	8.0	-	Gaurblog Lug	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Gorovod	MECP	mecp_gorovod.jpg	Character	character	Man	Minion	-	[MP: 2; Mind: 6; DI: 2; P/B: 5/8]---W/Sa---Man. Unique. Can use shadow-magic. May play Freeze the Flesh on an eliminated horse ally, Zurafy or Oliphaunt (as if a character).     tap: make a CP modified by -2 and eliminate a horse ally in the company to heal a character in the company (from wounded to untapped). Home site: Temple of Kondri Odchi.	2	-	Warrior Sage Shadow-magic	6.0	2.0	-	5.0	8.0	-	Temple of Kondri Odchi	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Hungh	MECP	mecp_hungh.jpg	Character	character	Man	Dual	-	[MP: 0; Mind: 1; DI: 0; P/B: 2/7]---Sc---Man. Unique. +3 DI against factions playable at    Relerindu. While in Relmenther or its adjacent regions he is considered a Ringwraith for the use of Valleys Have Ears (only factions in Relmenther and its adjecent regions are to be considered). Home Site: Relerindu	-	-	Scout	1.0	0.0	-	2.0	7.0	-	Relerindu	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Lindal	MECP	mecp_lindal.jpg	Character	character	Nelya Elf	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 3/8]---R---Elf. Unique. Nelya. Is considered Silvan warrior for the purpose of interpreting items. +2 DI against the Taarum Elves faction. Home Site: Arentaurr, Elanthia.	-	-	Ranger	2.0	0.0	-	3.0	8.0	-	Arentaurr, Elanthia	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Maran	MECP	mecp_maran.jpg	Character	character	Man	Hero	-	[MP: 2; Mind: 7; DI: 2; P/B: 5/8]---W/Sc/Sa---Man. Unique. +1 DI against characters and factions only playable at sites in Forrhun or its adjacent regions. Lords and Fallen-wizards may play Maran (regardless of his mind) with a company containing Seyran. Discard Maran if he is in an overt company.      Any Trained Falcon he controls receives +1 to body.Home site: any site in Forrhun.	2	-	Warrior Scout Sage	7.0	2.0	-	5.0	8.0	-	any site in Forrhun	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Midhir	MECP	mecp_midhir.jpg	Character	character	Silvan Elf	Hero	-	[MP: 2; Mind: 7; DI: 1; P/B: 4/9]---Sc/Sa/D---Elf. Unique. Silvan. +2 DI against Silvan Elves. +2 DI against the Taarum faction.      When Midhir controls a ring special item, he may use Wizard's Voice as if he were a Wizard.Home site: Elanthia.	2	-	Scout Sage Diplomat	7.0	1.0	-	4.0	9.0	-	Elanthia	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Orthir	MECP	mecp_orthir.jpg	Character	character	Silvan Elf	Hero	-	[MP: 2; Mind: 7; DI: 1; P/B: 5/9]---W/Sc/R---Elf. Unique. Silvan. +2 DI against Silvan Elves. Orthir's company may move through Ered Harmal as if it were a non-mountain region.    You may discard a Stars from hand to reveal a hidden site for his company (all requirements are fullfilled). Home site: Arentaurr.	2	-	Warrior Scout Ranger	7.0	1.0	-	5.0	9.0	-	Arentaurr	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Seyran	MECP	mecp_seyran.jpg	Character	character	Man	Dual	-	[MP: 2; Mind: 5; DI: 1; P/B: 4/9]---W/R---Man. Unique. +1 prowess against Men. If at the same site as a Ringwraith: +2 to his prowess and mind and he becomes a leader. If in the company with a Wizard, he may play and use mind rings as hero items.Home site: Logath Camp, Mistrand.	2	-	Warrior Ranger	5.0	1.0	-	4.0	9.0	-	Logath Camp, Mistrand	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ulrac	MECP	mecp_ulrac.jpg	Character	character	Man	Minion	-	[MP: 3; Mind: 8; DI: 2; P/B: 6/8]---W/Sc/D---Man. Unique. +2 DI against characters and factions playable in Harrhun and its adjacent regions.Tap: take one Horse-tamer from your discard pile to your hand.Home site: Wain-Easterling Camp.	3	-	Warrior Scout Diplomat	8.0	2.0	-	6.0	8.0	-	Wain-Easterling Camp	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Yanos Kosvar	MECP	mecp_yanoskosvar.jpg	Character	character	Man	Hero	-	[MP: 1; Mind: 4; DI: 0; P/B: 5/7]---W/Sc---Man. Unique. +2 DI against characters and factions only playable at sites in Forrhun and Harrhun. +1 prowess against Men.Home site: Logath Camp, Riavod.	1	-	Warrior Scout	4.0	0.0	-	5.0	7.0	-	Logath Camp, Riavod	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Kine of Araw	MECP	mecp_kineofaraw.jpg	Hazard	Creature	Animals	Neutral	-	[MP: 1; P/B: 7/0] Animals. Each character in the company faces a strike. May be played keyed to Dorwinion, Forrhun, Harrhun, Horse Plains and Southern Rhovanion; and also at Ruins & Lairs [R] in these regions. +2 prowess if the company has already faced Kine of Araw this turn. A character with a home site in any of the above regions may tap to cancel an attack by Kine of Araw against his company.	1	-	-	-	-	-	7.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	0.0	-	1.0
Uindarlaif	MECP	mecp_uindarlaif.jpg	Hazard	Creature	Animals Wolf Wolves	Neutral	-	[MP: 1; P/B: 5/0] Animals. Wolves. 5 strikes. +2 prowess against animal and horse allies. May be played keyed to any region in the Great Central Plains and regions adjacent to these (except Coastal Sea [c] regions). If Worn and Famished is in play, may also be played keyed to Southern Rhovanion and its adjacent regions.          Each excess strike assigned gives a -2 modification to prowess.	1	-	-	-	-	-	5.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.0	0.0	-	1.0
Chey Sart	MECP	mecp_cheysart.jpg	Region	-	-	Neutral	-	-	-	-	-	-	-	-	-	-	-	-	-	Dark-domain	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
