Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Attack-Lord	MEDF	medf_attacklord.jpg	Character	character	Dwarf	Hero	-	2	-	Warrior	5.0	1.0	-	5.0	7.0	-	any Dwarf-hold	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	+2 DI against Dwarves with a mind and prowess lower than his. +1 prowess against Orcs, Trolls, and Drakes. Cannot be duplicated by a given player unless he has Folk of Durin in play. TAP: give +1 prowess to all Dwarves in his company against one attack (or in CvCC).  Home Site: any Dwarf-hold
Balin*	MEDF	medf_balin2.jpg	Character	Avatar	Longbeard Dwarf-lord Lord	Dwarf-lord	-	2	Dwarf-lord	Warrior Scout Sage	7.0	25.0	17.0	5.0	8.0	-	Blue Mountain Dwarf-hold	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Dwarf-lord only. Longbeard. Leader. +3 DI against Dwarves. +2 prowess againsts Orcs, Trolls, and Wolves.  -2 MP if eliminated. If you are Balin, values in brackets apply and your ore resources are each worth full MP.  Balin gives no MP. If you have Lord of Dwarrowdelf or Reconquest of Khazad-dum in play, you may keep one more card than normal in your hand.  Home Site: Blue Mountain Dwarf-hold
Bolg of the North	MEDF	medf_bolgofthenorth.jpg	Character	Leader	Orc	Minion	-	3	-	Warrior Ranger	8.0	2.0	-	7.0	9.0	-	Mount Gundabad	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Manifestation of Bolg. Leader. Discard on a body check result of 9. +2 DI against Orcs. -2 DI if Rogrog or Witch-king of Angmar is in play. +1 prowess against Elves and Dwarves. When he is at Mount Gundabad, you may keep one more card than normal in your hand, and all attacks against his company keyed to the site are detainment. Home Site: Mount Gundabad
Borin	MEDF	medf_borin.jpg	Character	character	Firebeard Dwarf	Hero	-	1	-	Warrior Scout	4.0	1.0	-	4.0	8.0	-	Barak-shathur	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Firebeard. +1 prowess against Orcs and Drakes. Wound Borin to automatically defeat all strikes from a Trap attack against his company (no body check is required). Home Site: Barak-shathur
Dain	MEDF	medf_dain2.jpg	Character	Avatar	Longbeard Dwarf-lord Lord	Dwarf-lord	-	3	Dwarf-lord	Warrior Ranger Diplomat	8.0	35.0	19.0	6.0	8.0	-	Iron Hill Dwarf-hold	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Dwarf-lord only. Manifestation of Dain II. Longbeard. Leader. +2 DI against Dwarves and Men. +1 prowess against Dragons, Drakes, Orcs, and Trolls. -3 MP if eliminated. If you are Dain, values in brackets apply and your Man factions in play at sites in Wilderland each give full MP.  Dain gives no MP. You may keep one more card than normal in hand if he controls King under the Mountain.  Home Site: Iron Hill Dwarf-hold
Dis	MEDF	medf_dis.jpg	Character	character	Longbeard Dwarf	Hero	-	1	-	Scout Diplomat	4.0	1.0	-	1.0	8.0	-	Blue Mountain Dwarf-hold	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Longbeard. May not be among the starting characters. +4 DI against Fili, Frerin, Kili, Thorin II, and Thrain II. Discard Dis during the organization phase at any Dwarf-hold to replace her with one of these characters, which may be taken from your hand, discard pile, or play deck. Home Site: Blue Mountain Dwarf-hold
Dwarf AL	MEDF	medf_dwarfal.jpg	Character	Avatar	-	Dwarf-lord	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	-
Dwarven Miner	MEDF	medf_dwarvenminer.jpg	Character	character	Dwarf	Hero	-	-	-	Warrior	2.0	0.0	-	3.0	6.0	1.0	any Dwarf-hold	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	+1 prowess against Orcs and Trolls. -1 to his influence attempts. +1 to his company's Under-deeps movement rolls. Unless it contains a manifestation of a Dwarf-lord, the company may contain only one Dwarven Miner. Home Site: any Dwarf-hold
Dworin	MEDF	medf_dworin.jpg	Character	character	Ironfist Dwarf	Hero	-	1	-	Warrior	4.0	0.0	-	5.0	8.0	-	Nurunkhizdin	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Ironfist. +1 DI against Dwarves. +1 prowess against Drakes and Orcs. TAP: at any time to prevent Old Grudge from being discarded from play this phase. Home Site: Nurunkhizdin
Floi	MEDF	medf_floi.jpg	Character	character	Firebeard Dwarf	Hero	-	-	-	Warrior	2.0	0.0	-	3.0	7.0	-	Iron Hill Dwarf-hold	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Firebeard. +1 prowess against Orcs. -1 to his influence attempts. May tap to support a character in his company even if he is assigned a strike from the same attack. Home Site: Nurunkhizdin
