Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Araphor	MEDS	meds_araphor.jpg	Character	character	Dunadan	Dual	-	2	-	Ranger Sage Spirit-magic	7.0	2.0	-	4.0	8.0	-	Alsarius	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 7; DI: 2; P/B: 4/8]---R/Sa---Dunadan. Unique. Valdacli Lord. Can use spirit-magic. +2 DI against character and factions playable at sites in Miredor.    Against Nazgul, +3 to her prowess, and his body is halved (round up). Cannot be a starting character unless you start at a site in the Uttersouth.Home site: Alsarius.
Arthrazoc	MEDS	meds_arthrazoc.jpg	Character	character	Dunadan	Dual	-	2	-	Sage Diplomat	6.0	2.0	-	3.0	8.0	-	Barad Angwi	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 6; DI: 2; P/B: 3/8]---Sa/D---Dunadan. Unique. Valdacli Lord. +1 DI against characters and factions playable at sites in Pel. May use Persuasive Words against any influence attempt he makes; if successful shuffle Persuasive Words into your deck, instead of discarding it. Cannot be a starting character unless you start at a site in the Uttersouth. Home site: Barad Angwi.
Daroc	MEDS	meds_daroc.jpg	Character	character	Man	Hero	-	1	-	Warrior Ranger	4.0	1.0	-	4.0	7.0	-	Ostelor	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 1; P/B: 4/7]---W/R---Man. Unique. Valdacli Lord. Leader. Unless he controls a horse ally, his company may normally move only 3 regions. For influencing factions or characters he is also considered a diplomat. Cannot be a starting character unless you start at a site in the Uttersouth.  Home site: Ostelor.
Derei	MEDS	meds_derei.jpg	Character	character	Man	Dual	-	1	-	Scout	4.0	2.0	-	3.0	8.0	-	Arpel	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 2; P/B: 3/8]---Sc---Man. Unique. Pel. +4 DI against The Society of Derei faction.Home site: Arpel.
Dom	MEDS	meds_dom.jpg	Character	character	Dwarf	Dual	-	2	-	Warrior Diplomat	5.0	1.0	-	4.0	8.0	-	Mablad-dum, Baruzimabul	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 5; DI: 2; P/B: 4/8]---W/D---Dwarf. Unique. Stiffbeard. +1 DI against Dwarves. +1 Di against Stiffbeard Dwarves. +2 DI against Dwarf factions playable in the Sunlands or the Uttersouth.Home site: Mablad-dum, Baruzimabul.
Fror V	MEDS	meds_frorv.jpg	Character	character	Dwarf	Dual	-	2	-	Warrior Ranger	5.0	2.0	-	6.0	7.0	-	Baruzimabul	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 5; DI: 2; P/B: 6/7]---W/R---Dwarf. Unique. Stiffbeard. +1 prowess against Drakes.  +2 DI against Stiffbeard Dwarves. -1 to his CP. -2 CP if character with higher mind is in his company.Home site: Baruzimabul.
Hain	MEDS	meds_hain.jpg	Character	character	Dwarf	Dual	-	1	-	Warrior	4.0	1.0	-	5.0	7.0	-	Baruzimabul	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 1; P/B: 5/7]---W---Dwarf. Unique. Stiffbeard. Leader. +1 prowess while at or moving to an Under-deeps site. +1 to his CP while at an Under-deeps site. -1 to all his rolls if Gates of Morning is in play. His Beard Long and Forked may be played on him as if a Longbeard Dwarf.Home site: Baruzimabul.
Hargrog	MEDS	meds_hargrog.jpg	Character	character	Half-troll Troll	Minion	-	3	-	Warrior Scout Ranger	8.0	2.0	-	6.0	9.0	-	Tower of Hargrog	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 3; Mind: 8; DI: 2; P/B: 6/9]---W/Sc/R---Troll. Unique. Half-troll. Leader. +2 DI against orcs, trolls and characters (or factions playable) in the Uttersouth. If you have him in your starting company you must start the game at his home site and you may include slayer characters in your starting company and deck. Home site: Tower of Hargrog.
Hembur	MEDS	meds_hembur.jpg	Character	character	Dunadan	Hero	-	1	-	Ranger Diplomat	3.0	1.0	-	3.0	8.0	-	Lond Anarion	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 3; DI: 1; P/B: 3/8]---R/D---Dunadan. Unique. +4 EI against The Monks of Mor Tarain faction. When using Desert Amber targets heal to untapped instead of just tapped. May use Herblore as if Radagast if moving through a Desert [e] (as if a Wilderness [w]). Home site: Lond Anarion.
Imrazor III	MEDS	meds_imrazoriii.jpg	Character	character	Dunadan	Dual	-	2	-	Warrior Diplomat	5.0	1.0	-	5.0	8.0	-	Mispir	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 5; DI: 1; P/B: 5/8]---W/D---Dunadan. Unique. Valdacli Lord. +2 DI against characters and factions playable at sites in Elorna.     tap Imrazor III during your end-of-turn phase and discard a diplomat only resource from your hand to shuffle any other diplomat only resource from your discard pile to your deck. Cannot be a starting character unless you start at a site in the Uttersouth.Home site: Mispir.
Karaag the Gnome	MEDS	meds_karaagthegnome.jpg	Character	character	Drel Man	Hero	-	1	-	Sage	4.0	1.0	-	3.0	7.0	-	Ro-mollo	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 1; P/B: 3/7]---Sa---Man. Unique. Drel. Karaag the Gnome is considered a Dwarf for Dwarven Cunning and Dwarven Fire.     If he bears a technology item, you may play Concealed Entrance as if a scout, or Ready to His Will (as if a minion) and even on a Pukel-creature creature attack (regardless of its numbers of strikes). Home Site: Ro-mollo
Malezar	MEDS	meds_malezar.jpg	Character	Avatar	Demon Warlord Lord	War-lord	-	2	-	Warrior Diplomat	7.0	2.0	22.0	4.0	8.0	-	Kondu Manara	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[Avatar GI: 22; Mind: 7; DI: 2; P/B: 4/8]---W/D---Demon. Unique. Warlord. Leader. May tap to cancel a demon or undead attack against his company. +3 DI against Men and Orcs.Home site: Kondu Manara.
Pharacas	MEDS	meds_pharacas.jpg	Character	character	Dunadan	Minion	-	3	-	Warrior Scout Ranger	8.0	2.0	-	6.0	8.0	-	Ro-mollo, Urezayan	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 3; Mind: 8; DI: 2; P/B: 6/8]---W/Sc/R---Dunadan. Unique. Black player only. +2 DI against Dunadan characters and factions playable in the Sun-lands. Home site: Ro-mollo, Urezayan.
Phorakon	MEDS	meds_phorakon.jpg	Character	character	Dunadan	Hero	-	2	-	Warrior Diplomat	7.0	3.0	-	4.0	9.0	-	Tol Turgul	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 7; DI: 3; P/B: 4/9]---W/D---Dunadan. Unique. Valdacli Lord. +2 prowess against magic users. Phorakon is considered a sage for every item he bears. +2 DI against Men of Sulcoron faction. Cannot be a starting character unless you start at a site in the Uttersouth.Home site: Tol Turgul.
Sakulbar II	MEDS	meds_sakulbarii.jpg	Character	character	Dunadan	Dual	-	2	-	Warrior Scout	6.0	2.0	-	4.0	8.0	-	Barad Carannun, Lond Anarion	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 6; DI: 2; P/B: 4/8]---W/Sc---Dunadan. Unique. Valdacli Lord. +1 DI against Dunedain.   +2 DI against factions playable at his home sites. Cannot be a starting character unless you start at a site in the Dominion of the Seven or the Sunlands. If he becomes a leader he gains the diplomat skill. Unless under the control of an avatar, leader or valdacli, all his CP are modified by -1. Home site: Barad Carannun, Lond Anarion.
