Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Aegnor	MEFB	mefb_aegnor.jpg	Character	character	Noldo Elf	Hero	-	2	-	Sage Diplomat	6.0	2.0	-	4.0	8.0	-	Lorien	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Noldo. TAP: if at a site where Information is playable to test a gold ring in his company. Home Site: Lorien
Andovon Pathdal	MEFB	mefb_andovonpathdal.jpg	Character	character	Sinda Elf	Hero	-	1	-	Scout Ranger	3.0	0.0	-	4.0	7.0	-	Grey Havens or any Refuge in Eriador	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Sinda. May use any bow as if he were a warrior. Discard Andovon if he is in a company without an avatar and at a site not in Eriador or its adjacent regions. Home Site: Grey Havens, any Refuge in Eriador
Aramacar	MEFB	mefb_aramacar.jpg	Character	character	Sinda Elf	Hero	-	2	-	Warrior Scout	5.0	1.0	-	5.0	9.0	-	Rhubar	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Sinda. Unless he is among the starting characters, he may only be brought into play at his home site. +1 prowess against Orcs and Undead. +3 DI against the Elves of Taur Romen faction. Discard Aramacar if you have Bad Company in play, or if a Dwarf or Man character without Elf-friend is in his company during the long-event phase. Home Site: Rhubar
Arhendhiril	MEFB	mefb_arhendhiril.jpg	Character	character	Sinda Elf	Hero	-	2	-	Ranger Sage	5.0	1.0	-	3.0	9.0	-	Thranduil's Halls	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Sinda. +1 DI against Elves. +4 DI against Legolas and Thranduil. +2 DI against the Wood-elves faction. TAP: once per turn to give +1 to any CC made by Legolas or Thranduil (if in her company) that turn. Home Site: Thranduil's Halls
Ascarnil	MEFB	mefb_ascarnil.jpg	Character	character	Silvan Elf	Hero	-	1	-	Scout Ranger	4.0	0.0	-	3.0	9.0	-	Rivendell, Any Refuge in Eriador	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Silvan. Unless he is one of the starting characters, he may only be brought into play at his home site. +1 prowess against Trolls. TAP: during the organization phase at a site in Rhudaur or its adjacent regions to force opponent to reveal two random cards from his hand. Home Site: Rivendell, any Refuge in Eriador
Bladorthin	MEFB	mefb_bladorthin.jpg	Character	character	Sinda Elf	Hero	-	3	-	Warrior Scout Ranger	8.0	25.0	-	78.0	78.0	-	Edhellond, Thranduil's Halls	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Sinda. Unless he is one of the starting characters, may only come into play at his home site. +1 DI against Elves. +1 prowess against Orcs and Undead. Values in brackets/parentheses apply if Thranduil is eliminated. If you are Thranduil: -3 to your GI. Bladorthin is considered Thranduil for the purpose of playing and interpreting stage cards. When Thranduil is eliminated, Thranduil specific cards need not be discarded and may be transferred to Bladorthin; he costs no influence to control. Home Site: Edhellond, Thranduil's Halls
Celeborn, Lord of Lorien	MEFB	mefb_celebornlordoflorien.jpg	Character	character	Sinda Elf	Hero	-	2	Galadriel	Warrior Ranger Sage	7.0	1.0	-	6.0	9.0	-	Lorien	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Sinda. Lady Galadriel specific. Leader. Manifestation of Celeborn. +2 DI against Elves. +1 prowess against Orcs. If he is at Lorien and Galadriel is not, your hand size is increased by one. May only be controlled by Galadriel or GI. -2 MP if eliminated.  Home Site: Lorien
Celebrian	MEFB	mefb_celebrian.jpg	Character	character	Noldo Elf	Hero	-	2	-	Scout Sage Diplomat	6.0	1.0	-	2.0	9.0	-	Lorien, Rivendell	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Noldo. +2 DI against Elves. +2 DI against Arwen, Elladan, Elrohir, and Elrond. While moving to a non-Haven site, all other Elves in her company receive +1 prowess. -2 MP if eliminated. Home Site: Lorien, Rivendell
Celedhring	MEFB	mefb_celedhring.jpg	Character	character	Noldo Elf	Minion	-	3	-	Scout Sage	8.0	2.0	-	3.0	8.0	-2.0	Barad-dur	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Noldo. +2 to his CC when bearing a ring (except The One Ring). Discard Celedhring at the end of the organization phase if he is in play as a hero character and does not bear a ring. TAP: during the organization phase to test a gold ring in his company; Celedring makes a CC modified by subtracting the MP of the ring that is played as a result.   Home Site: Barad-dur
Cirdan the Shipwright	MEFB	mefb_cirdantheshipwright.jpg	Character	Avatar	Sinda Elf-lord Lord	Elf-lord	-	-	-	Warrior Sage Diplomat	9.0	5.0	18.0	6.0	9.0	-	Grey Havens	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Sinda. Manifestation of Cirdan. Sinda. Leader. +3 DI against Elves. +2 DI against the Elves of Lindon faction. When Cirdan is at Grey Havens, you may keep one more card than normal in your hand. TAP: cancel an attack against his company keyed (by name or type) to a Coastal Sea [c] region or Lindon. Home Site: Grey Havens
Cirdor	MEFB	mefb_cirdor.jpg	Character	character	Sinda Elf	Hero	-	2	-	Warrior Diplomat	6.0	2.0	-	5.0	7.0	-	Edhellond, Grey Havens	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique.  +1 DI against Elves. +2 prowess against manifestations of Earcaraxe and Gondring, and against hazard creatures normally playable keyed to Coastal Seas [c] or keyed to a Coastal Sea region or site therein (by type or name). Tap Cirdor at the start of the site phase if he is not at a port or site with a Coastal Sea in its site path. Home Site: Edhellond, Grey Havens
Elf AL	MEFB	mefb_elfal.jpg	Character	Avatar	-	Elf-lord	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	-
Ellindiel	MEFB	mefb_ellindiel.jpg	Character	Agent	Noldo Elf	Hero	-	2	-	Ranger Sage Diplomat	7.0	2.0	-	3.0	8.0	-	Any site in Arthedain	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Noldo. Grey agent. +2 DI against characters with a home site in Eriador. Cannot be in a company with a Dunadan or Elf with a mind higher than hers. Wisp of Pale Sheen may be played at Ellindiel's non-Haven site. Agent only: her region is considered Hollin for the purpose of Elven Wards. Home Site: any site in Arthedain
Elrond Half-elven	MEFB	mefb_elrondhalfelven.jpg	Character	Avatar	Noldo Sinda Half-elf Elf-lord Lord	Elf-lord	-	-	-	Warrior Sage Diplomat Spell	10.0	6.0	20.0	7.0	9.0	-	Rivendell	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Manifestation of Elrond. Noldo. Sinda. Half-elf. Leader. +2 DI against Elves. When Elrond is at Rivendell, you may keep one more card than normal in your hand. Can use spells as if he were a Wizard (except Sacrifice of Form). You may win the game by successfully playing Cracks of Doom or Gollum's Fate.  Home Site: Rivendell
Elven Handmaid	MEFB	mefb_elvenhandmaid.jpg	Character	character	Silvan Elf	Hero	-	-	-	Sage	2.0	0.0	-	1.0	7.0	-	Any Elf-hold	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Silvan. Costs no influence to control if controlled by an Elf with a mind of 8 or more. Only one Elven Handmaid can be a follower of a given character. TAP: at any time to give +1 to all CC made by Elves in her company this turn; the maximum bonus of Elven Handmaids tapping in this fashion is +2. Home Site: any Elf-hold
Emissary of the House	MEFB	mefb_emissaryofthehouse.jpg	Character	character	Noldo Elf	Hero	-	1	-	Warrior Diplomat	3.0	1.0	-	3.0	7.0	-	Rivendell	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Noldo. +2 DI against any hero faction. A given company may contain only one Emissary of the House. Home Site: Rivendell
Erestor	MEFB	mefb_erestor.jpg	Character	character	Noldo Elf	Hero	-	3	-	Sage Diplomat	8.0	1.0	-	5.0	7.0	-	Rivendell	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Noldo. +3 DI against Elves. TAP: discard a corruption or disease card played on his company (or an entity thereof). Home Site: Rivendell
Fanar	MEFB	mefb_fanar.jpg	Character	character	Nando Elf	Hero	-	2	-	Warrior	5.0	1.0	-	5.0	9.0	-	Cerin Amroth, Lorien	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Nando. +1 DI against Elves. +1 prowess against Orcs and Wolves. TAP: untap a bow he bears. Home Site: Lorien
Huinen	MEFB	mefb_huinen.jpg	Character	character	Noldo Elf	Hero	-	2	-	Sage Diplomat	7.0	2.0	-	3.0	8.0	-	Ceber Fanuin	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Noldo. Unless he is among the starting characters, he may only be brought into play at his home site. +2 DI against Elves. You may shuffle any Secret News into your play deck instead of discarding it from play. If he is in the same company as Bladorthin, your GI is increased by two.  Home Site: Ceber Fanuin
Lady Galadriel	MEFB	mefb_ladygaladriel.jpg	Character	Avatar	Noldo Elf-lord Lord	Elf-lord	-	-	-	Scout Sage Diplomat	9.0	6.0	19.0	4.0	10.0	-	Lorien	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Manifestation of Galadriel. Noldo. +2 DI against Elves. When Galadriel is at Lorien, you may keep one more card than normal in your hand. May not bear a manifestation of The One Ring. TAP: take Cup of Farewell from your discard pile to your hand. Home Site: Lorien
Legolas of Greenwood	MEFB	mefb_legolasofgreenwood.jpg	Character	character	Sinda Silvan Elf	Hero	-	1	-	Warrior Scout	4.0	0.0	-	4.0	8.0	-	Thranduil's Halls	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Manifestation of Legolas. Sinda. Silvan. +2 DI against the Wood-elves faction. +1 prowess and +1 to his CC for each song played on his company (or an entity thereof) this turn. Home Site: Thranduil's Halls
Mallorn-dweller	MEFB	mefb_mallorndweller.jpg	Character	character	Nando Elf	Hero	-	1	-	Warrior Scout	3.0	0.0	-	2.0	9.0	-	Rhubar, any Elf-hold in Wilderland	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Nando. TAP: cancel an attack against his company keyed to single Wilderness [w]. Only one Mallorn-dweller may tap in this fashion per turn per company.  Home Site: any Elf-hold in Wilderland, Rhubar
Othar	MEFB	mefb_othar.jpg	Character	character	Sinda Elf	Hero	-	1	-	Warrior Diplomat	4.0	1.0	-	4.0	8.0	-	Celebannon, Thranduil's Halls	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Sinda. +3 DI against the Raft-elves. TAP: and discard a Lock nor Bar May Hinder from hand to take control of a minor item; the item must be taken from your play deck and normally be playable at Celebannon. Home Site: Celebannon, Thranduil's Halls
Prisoner from Ost-in-Edhil	MEFB	mefb_prisonerfromostinedhil.jpg	Character	character	Noldo Elf	Minion	-	3	Sauron	Warrior Sage	8.0	2.0	-	4.0	8.0	-2.0	Barad-dur	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Noldo. Sauron only. May not be among the starting characters. May only be brought into play with a company containing a ring. May not assign a strike in CvCC. +2 to his CC when bearing a ring (not The One Ring). When testing a gold ring in his company, you may make two rolls and choose one result to use. If stored as prisoner at an Elf-hold, he may be brought into play as a hero character; he costs only 5 points of influence to control if controlled by a hero Elf. Home Site: none
Rumil	MEFB	mefb_rumil.jpg	Character	character	Nando Elf	Hero	-	-	-	Scout	2.0	0.0	-	3.0	8.0	-	Lorien	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Nando. -1 to his CC. If he is in a company with Haldir or Orophin, their company's hazard limit is reduced by one (to a minimum of 1). Home Site: Lorien
Shipwright	MEFB	mefb_shipwright.jpg	Character	character	Sinda Elf	Hero	-	1	-	Warrior Sage	3.0	0.0	-	3.0	7.0	-	Grey Havens	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Sinda. Discard a Great Ship from hand during the organization phase to allow his company to move with port-movement that turn. TAP: at the end of the organization phase to allow his company to move an additional Coastal Sea [c] region.  Home Site: Grey Havens, any Elf-hold Port
Tharudan	MEFB	mefb_tharudan.jpg	Character	character	Sinda Elf	Hero	-	2	-	Warrior Sage	5.0	1.0	-	4.0	7.0	-	Edhellond	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Sinda. +1 DI against Elves. +2 DI against the Elves of Edhellond faction. If Moon is in play, Tharudan may play or use any resources that require Information to be playable, at his current non-Haven site in a Coastal Sea [c] region (as if Information were playable there). Home Site: Edhellond
Thranduil of Mirkwood	MEFB	mefb_thranduilofmirkwood.jpg	Character	Avatar	Sinda Elf-lord Lord	Elf-lord	-	-	-	Warrior Ranger Sage	9.0	5.0	17.0	7.0	9.0	-	Thranduil's Halls	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Manifestation of Thranduil. Sinda. Leader. +3 DI against Elves. +2 DI against the Wood-elves faction. When Thranduil is at Thranduil's Halls, you may keep one more card than normal in your hand. TAP: cancel an attack against his company keyed to a region of Mirkwood or site therein, or untap Wardens of the Woodland Realm. Home Site: Thranduil's Halls
Wood-elf	MEFB	mefb_woodelf.jpg	Character	character	Silvan Elf	Hero	-	1	-	Warrior Ranger	3.0	0.0	-	3.0	8.0	-	Rhubar, any Elf-hold in Wilderland	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Silvan. TAP: cancel an Animal or Awakened Plant attack against his company. Only one Wood-elf may tap in this fashion per turn per company.  Home Site: any Elf-hold in Wilderland, Rhubar
