Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Bain	MEGW	megw_bain.jpg	Character	character	Man	Hero	-	1	-	Warrior Ranger	4.0	1.0	-	4.0	8.0	-	Dale	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 1; P/B: 4/8]---W/R---Man. Unique. +1 prowess against Orcs, Dragons and Drakes. +1 DI against Men with a home site in Northern Rhovanion. +1 DI against Dwarves.Home site: Dale.
Daelomin the Ghost-Wing	MEGW	megw_daelomintheghostwing.jpg	Character	Avatar	Dragon-lord Lord Cold-dragon Female	Dragon-lord	-	-	-	Winged Scout Sage Diplomat Sorcery Dragon-magic	8.0	-	20.0	7.0	8.0	-	Dancing Spire	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[Avatar GI: 20; Mind: 8; DI: 6; P/B: 7/8]---Sc/Sa/D---Dragon. Unique. Manifestation of Daelomin. Female. Winged. Cold-dragon. May not move. Can use sorcery. +2 DI against (manifestations of) male characters.  +4 to her rolls for flattery attempts. If no other characters or allies are in her company, her company's normal hazard limit is two. tap: if at a Dragon's Den [K] to cancel an effect that would raise the hazard limit for one of your companies.Home site: Dancing Spire.
Dragon AL	MEGW	megw_dragonal.jpg	Character	Avatar	-	Dragon-lord	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	-
Dragon's Disciple	MEGW	megw_dragonsdisciple.jpg	Character	character	Man	Dragon-lord	-	2	Dragon-lord	Warrior Diplomat Spirit-magic	5.0	1.0	-	5.0	8.0	-	any Dragon's Den	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 5; DI: 1; P/B: 5/8]---W/D---Man. Dragon-lord specific. Can use spirit-magic. +2 DI against Men.      Tap your Dragon-lord to play Wielder of Old Arts on The Dragon's Diciple (if in the same company) as if he were a Dragon-lord. Cannot be duplicated by a given player.Home site: any Dragon's Den.
Durlog	MEGW	megw_durlog.jpg	Character	character	Orc	Dragon-lord	-	2	Dragon-lord	Warrior Ranger	5.0	1.0	-	5.0	8.0	-	any Dragon's Den	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 5; DI: 1; P/B: 5/8]---W/R---Orc. Unique. Dragon-lord specific. Leader. Discard on a body check result of 8. +2 DI against Orcs.Home site: any Dragon's Den.
Eodoric	MEGW	megw_eodoric.jpg	Character	character	Man	Hero	-	-	-	Scout Ranger	2.0	0.0	-	2.0	7.0	-	any Border-hold in Northern Rhovanion	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 0; Mind: 2; DI: 0; P/B: 2/7]---Sc/R---Man. Unique. +1 prowess against Animals and Wolves.    tap: during your organization phase at a site in Northern Rhovanion to force an opponent to reveal three cards at random from his hand.Home site: any Border-hold in Northern Rhovanion.
Fram Wyrmslayer	MEGW	megw_framwyrmslayer.jpg	Character	Agent	Man	Hero	-	2	-	Warrior Ranger	6.0	0.0	-	5.0	8.0	-	Framsburg	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 6; DI: 0; P/B: 5/8]---W/R---Man. Unique. Grey Agent. Manifestation of Fram Framson. +3 prowess against Dragons and Drakes. May not be among the starting characters and may only be brought into play at his home site.      Agent only: tap: if at a site where an opponent's Dragon faction is in play to face the associated Dragon attack. +1 to any resulting body checks after the attack. If the attack is defeated place the faction in the out of play pile.Home site: Framsburg.
Grashukh	MEGW	megw_grashukh.jpg	Character	character	Uruk-hai Orc	Minion	-	2	-	Warrior Ranger	6.0	0.0	-	6.0	8.0	-	Deep Cleft, Mount Gundabad	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 6; DI: 0; P/B: 6/8]---W/R---Orc. Unique. Uruk-hai. Leader. Discard on a body check result of 8. +2 prowess against Dragons and Drakes. +2 DI against Orcs. Discard when in the company with a Dragon.    tap: during the organization phase to allow his company to move through a mountain region (and not stop at a site therein). Home site: Deep Cleft, Mount Gundabad.
Grim-faced Northman	MEGW	megw_grimfacednorthman.jpg	Character	character	Man	Dragon-lord	-	1	Dragon-lord	Warrior Ranger	3.0	0.0	-	3.0	7.0	-	any site in Northern or Southern Rhovanion	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 3; DI: 0; P/B: 3/7]---W/R---Man. Dragon-lord specific. tap: during the site phase, if at one of his home sites, to take one character, ally or faction playable there from your discard pile or play deck (reshuffle) to your hand. Home site: any site in Northern or Southern Rhovanion.
Grimbeorn the Old	MEGW	megw_grimbeorntheold.jpg	Character	character	Man	Hero	-	2	-	Warrior Ranger	6.0	1.0	-	6.0	8.0	-	Beorn's House	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 6; DI: 1; P/B: 6/8]---W/R---Man. Unique. +2 prowess against Orcs. +2 DI against the Beornings faction. Counts as Beorn for the purpose of playing Skin-changer. Discard Grimbeorn if you have Bad Company in play.Home site: Beorn's House.
Grimson the Fearless	MEGW	megw_grimsonthefearless.jpg	Character	character	Man	Minion	-	2	-	Warrior Ranger	6.0	1.0	-	5.0	8.0	-	Framsburg	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 6; DI: 1; P/B: 5/8]---W/R---Man. Unique. His prowess is only modified by -1 when not tapping to face a strike. If you are a Dragon-lord, Grimson the Fearless may play allies normally playable only by your Dragon-lord; he may control a maximum of 2 such allies. Your Dragon-lord may transfer any allies he controls to Grimson during the organization phase.Home site: Framsburg.
Haeldwyn	MEGW	megw_haeldwyn.jpg	Character	character	Man	Minion	-	2	-	Scout Sage Sorcery Spirit-magic	6.0	1.0	-	4.0	9.0	-	Mathlaburg, Tower of the Wolf-friend	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 6; DI: 1; P/B: 4/9]---Sc/Sa---Man. Unique. +2 DI against Orc characters with a mind lower than his.  If controlling a Stolen Knowledge card, he can use sorcery. If controlling a Lost Knowledge card, he can use spirit-magic.Home site: Mathlaburg, Tower of the Wolf-friend.
Heladil	MEGW	megw_heladil.jpg	Character	character	Silvan Elf	Hero	-	1	-	Warrior Scout	3.0	0.0	-	3.0	8.0	-	any Refuge in Mirkwood	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 3; DI: 0; P/B: 3/8]---W/Sc---Elf. Unique. Silvan. +2 prowess against Spiders. +1 DI against the Wood-Elves faction. Discard Greenwood the Great from company to heal Heladil.  Home site: any Refuge in Mirkwood.
Itangast the Guest-eater	MEGW	megw_itangasttheguesteater.jpg	Character	Avatar	Dragon-lord Lord Fire-dragon	Dragon-lord	-	-	-	Wyrm Warrior Ranger Diplomat Dragon-magic	10.0	5.0	20.0	11.0	8.0	-	Gold Hill	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[Avatar GI: 20; Mind: 10; DI: 5; P/B: 11/8]---W/R/D---Dragon. Unique. Manifestation of Itangast. Fire-dragon. May not move. +2 prowess against Men and Dwarves. +4 to his rolls for offering attempts. -3 to your influence attempts against manifestations of Ando-anca, Smaug, Scatha and Throkmaw.  Your unique gathered bones worth 2 mp or more are each worth 2 mp. While Itangast is at Gold Hill, your Orcs and Trolls require one less influence to control.Home site: Gold Hill.
