Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Arathorn II	MEKN	mekn_arathornii.jpg	Character	character	Dunadan	Hero	-	[MP: 2; Mind: 7; DI: 2; P/B: 5/9]---W/R/D---Dunadan. Unique. +1 DI against Elves and Dunedain.  +2 DI against the Rangers of the North faction.  -2 mp if eliminated.Home site: Annuminas, Rivendell.	2	-	Warrior Ranger Diplomat	7.0	2.0	-	5.0	9.0	-	Annuminas, Rivendell	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ardagor	MEKN	mekn_ardagor.jpg	Character	character	Half-troll Troll	Minion	-	[MP: 2; Mind: 7; DI: 2; P/B: 6/9]---W/Sa---Troll Unique. Half-troll. Leader. Can use spirit- magic. +2 prowess against Orcs. +2 DI against Trolls. Discard on a body check result of 9.    Unless he is at a Darkhaven [K], discard any Orc characters in his company.Home site: Carn Dum, Creb Durga.	2	-	Warrior Sage	7.0	2.0	-	6.0	9.0	-	Carn Dum, Creb Durga	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ardagor*	MEKN	mekn_ardagor2.jpg	Character	Avatar	Half-troll Troll Warlord Lord	War-lord	-	[Avatar GI: 18; Mind: 9; DI: 3; P/B: 6/9]---W/R/Sa---Troll. Unique. Half-troll. War-lord. Leader. Can use spirit-magic. +2 prowess against Orcs. +5 DI against Trolls. When he is at any of his home sites, you may keep one more card than normal in your hand. Discard any Orc characters in his company. TAP: take War-lord's Lair from your discard pile to your hand.Home Site: Creb Durga, The Under-caves.	-	-	Warriror Ranger Sage Spirit-magic	9.0	3.0	18.0	6.0	9.0	-	Creb Durga, The Under-caves	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Brandir	MEKN	mekn_brandir.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 3; DI: 0; P/B: 3/8]---Sc/R---Dunadan. Unique. +1 prowess against Orcs and Wolves. You may take Brandir to hand from discard pile or play deck when you successfully influence the Rangers of the North faction.Home site: The Last Bridge, Tol Lamfirith.	1	-	Scout Ranger	3.0	0.0	-	3.0	8.0	-	The Last Bridge, Tol Lamfirith	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Brutal Retinue	MEKN	mekn_brutalretinue.jpg	Character	character	Half-troll Troll	War-lord	-	[MP: 0; Mind: 2; DI: 0; P/B: 4/9]---W---Troll. War-lord only. Half-troll. May not be among your starting characters. Must be controlled by a War-lord DI (ignore any race restrictions in company composition). Discard if not controlled by a War-lord, or to cancel a strike against his controlling War-lord. Discard on a body check result of 9. Home site: War-lord's home site.	-	-	Warrior	2.0	0.0	-	4.0	9.0	-	War-lord's home site	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Forest-troll	MEKN	mekn_foresttroll.jpg	Character	character	Wild-troll Troll	Minion	-	[MP: 1; Mind: 4; DI: 0; P/B: 4/8]---W/R---Wild-troll. Discard on a body check result of 7. +1 prowess against Ents and Awakened Plants.  -1 to all CC. Home Site: any non-Dragon's lair Ruins & Lairs in a Wilderness.	1	-	Warrior Ranger	4.0	0.0	-	4.0	8.0	-1.0	any non-Dragon's lair Ruins & Lairs in a Wilderness	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Gilraen	MEKN	mekn_gilraen.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 3; DI: 1; P/B: 2/8]---Sc/Sa---Dunadan. Unique. +4 DI against Arathorn II and Aragorn II. Against Nazgul, + 5 to her prowess and his body if halved (round up). If Gilraen is at the same site as Arathorn II you may take Estel from your sideboard to your hand.Home site: Rivendell, Tol Lamfirith.	1	-	Scout Sage	3.0	1.0	-	2.0	8.0	-	Rivendell, Tol Lamfirith	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ognor	MEKN	mekn_ognor.jpg	Character	character	Half-troll Troll	Minion	-	[MP: 1; Mind: 4; DI: 0; P/B: 4/8]---W/Sc---Troll. Unique. Hill Troll. +2 prowess against Ents and Awakened Plants. Discard on a body check of 8. Home site: Creb Durga, Ettenmoors.	1	-	Warrior Scout	4.0	0.0	-	4.0	8.0	-	Creb Durga, Ettenmoors	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ranger of Arnor	MEKN	mekn_rangerofarnor.jpg	Character	character	Dunadan	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 4/7]---R---Dunadan. May not be among the starting characters. May also be played at any non-hidden, non- Shadow-hold site in Cardolan or Rhudaur. Discard if you have Bad Company in play.Home site: any site in Arthedain.	-	-	Ranger	2.0	0.0	-	4.0	7.0	-	any site in Arthedain	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Troll Henchman	MEKN	mekn_trollhenchman.jpg	Character	character	Hill-troll Troll	Minion	-	[MP: 0; Mind: 2; DI: 0; P/B: 4/7]---x---Troll. Hill-troll. Only one Troll Henchman may be in the company for each Troll leader or avatar present. +1 to his company's size for the purposes of playing and interpreting resources. If Troll Henchman is at a Free-holds [F] in a region adjacent to the regions affected by Grond, then Grond also affects that site. Home Site: any site with a Troll automatic-attack.	-	-	-	2.0	0.0	-	4.0	7.0	-	any site with a Troll automatic-attack	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ufkral	MEKN	mekn_ufkral.jpg	Character	character	Uruk-hai Orc	Minion	-	[MP: 1; Mind: 4; DI: 0; P/B: 4/7]---W---Orc. Unique. +1 DI against Orcs. +2 DI against Snaga-hai faction and Wolf factions. If Ufrkal controls a wolf ally, he becomes a leader. Wolf allies he controls may take trophies as if an Orc character. A wolf ally controlling one trophy gains the scout skill; controlling three trophies it gains the ranger skill. Home Site: Morkai.	1	-	Warrior	4.0	0.0	-	4.0	7.0	-	Morkai	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Angmarim Tribesmen	MEKN	mekn_angmarimtribesmen.jpg	Hazard	Creature	Man Men	Neutral	-	[MP: 1; P/B: 9/0] Men. 4 strikes. Playable keyed to Angmar, Gundabad, and Misty Mountains Northern Spur. If Angmar Arises, Doors of Night, or The Witch-king of Angmar is in play, may also be played keyed to Anduin Vales, Arthedain, Forochel, Everdalf, and Rhudaur. This attack is cancelled if you are The Witch-king or you have Angmarim in play	1	-	-	-	-	-	9.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	0.0	-	1.0
Bloodeye Ravish	MEKN	mekn_bloodeyeravish.jpg	Hazard	Permanent-event	Disease	Neutral	-	Disease. Playable on a Horse ally. At the start of its movement/hazard phase the ally must make a body check, modified by +1 if moving through a region in Eriador, -2 if the ally is unique, and - 2 if moving through a Dark- domain [d], Desert [e] or region in the Northern Waste. During your end-of-turn phase make a body check for any other Horse ally in the company: if succesfull the ally is not wounded but also effected by Bloodeye Ravish (place a token on it). Discard a card with a healing effect from the company to discard Bloodeye Ravish.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Fire Unwatched	MEKN	mekn_fireunwatched.jpg	Hazard	Short-event	-	Neutral	-	Playable on a non-stage resource permanent- event played on a Haven [H] or Free-hold [F]. Discard the event and wound a character at the site (no body check required).     Alternatively, playable on a Dwarven Alchemist or Forge-master character at a Haven [H]. Wound target character and make a body check.	-	-	-	-	-	-	-	-	-	attach	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
No Good Roasting 'Em Now	MEKN	mekn_nogoodroastingemnow.jpg	Hazard	Permanent-event	Prisoner	Neutral	-	Playable on a character facing a strike from a Troll creature attack.  Unless the attack is keyed to Ruins & Lairs [R], the defending character receives +3 prowess against the strike.  If the strike is successful, target character is not harmed and is taken prisoner at a Shadow-hold [S] or non-Dragon-lair Ruins & Lairs [R].  At the start of his untap phase, make a body check for that character modified by +1.  Rescue-attacks (2):  Troll - 1 strike with 10 prowess, Troll - 1 strike with 12 prowess.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Reef	MEKN	mekn_reef.jpg	Hazard	Short-event	-	Neutral	-	Playable on a company moving through a Coastal Sea [c] region.You must replace company's new site card with a different Ruins & Lairs [R] from your location deck that is located in a Coastal Sea [c] region the company is moving through (opponent chooses if more than one site is available).     If no such site is available, the company must move to the nearest port site (opponent chooses if more than one if port is available). This card cannot be cancelled by Great Ship	-	sea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Tharbad's Thieves	MEKN	mekn_tharbadsthieves.jpg	Hazard	Permanent-event	-	Neutral	-	"Playable on a company moving in Cardolan or its adjacent regions. The company faces an attack: Men -- 1 strike with 15 prowess. Discard this card if the attack is cancelled or if no strike is successfull. Any successfull strike does not wound the defending character; rather he must place one item he bears (attacker's choice) ""off to the side"" with this card. All items under this card are considered playable at Tharbad by any player (regardless of Tharbad's tapped status, and Tarbad may now be placed in the location deck) after facing a Rescue-attack: Men -- 3 strikes with 8 prowess"	-	prisoner	-	-	-	-	-	-	-	special	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ancient Burial Site	MEKN	mekn_ancientburialsite.jpg	Resource	Short-event	-	Dual	-	Playable during the site phase at a Ruins & Lairs [R]. Hoard minor items may be played at the site. If the site has an Undead automatic-attack, you may also play gold ring items. If Banishment is played on the site, you may play hoard major items.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Annayulma	MEKN	mekn_annayulma.jpg	Resource	Special Item	Treasure	Hero	-	Unique.  Treasure.  Playable at Goblin-gate.tap:  if bearer is an Elf or sage with a mind of 6 or more, to play and interpret Healing of Nimrodel this turn as though his company's current or new site in a Wilderness [w] were a Haven [H].  This item does not untap normally.  Untap Annayulma if its bearer is at a Haven [H] and taps, or if Enchanted Stream or River is played against the company.	1	-	Elf	-	-	-	-	-	1.0	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Axe of Braogha	MEKN	mekn_axeofbraogha.jpg	Resource	Major Item	Axe Weapon	Dual	-	Unique. Axe. One-handed. Weapon. Also playable at Cameth Brin the same turn you play the Hillmen. +2 prowess to a maximum of 8 (+3 against dwarves and orcs to a maximum of 9)	2	-	One-handed	-	-	-	2.0	-	2.0	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Beffraen	MEKN	mekn_beffraen.jpg	Resource	Faction	Wose	Dual	-	[MP: 2] Unique. Playable at any Ruins & Lairs [R] in Eriador that is a hidden site if the influence check is greater 	2	-	Light Infantry	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Blood Money	MEKN	mekn_bloodmoney.jpg	Resource	Permanent-event	-	Minion	-	[MP: 1] Diplomat only. Playable on a diplomat in a covert company facing a non-detainment attack by Elves, Dwarves, Dunedain or Men (before strikes are assigned). Discard if none of your characters are wounded by the attack. Discard when any of your companies ever defeats an attack by Elves, Dwarves, Dunedain or Men.	1	diplomat	Diplomat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Burgling Miserably	MEKN	mekn_burglingmiserably.jpg	Resource	Permanent-event	-	Minion	-	[MP: 1] Scout only. Playable on a non-overt scout at a Free- hold [F], Border-hold [B], or Ruins & Lairs [R]. Tap scout if untapped. One Swag may be placed with this card. Any Swag placed with this card may be played on the company as if from hand and may be discarded from the company as if a treasure item.	-	scout, stolen	Scout	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Causeways and Canals	MEKN	mekn_causewaysandcanals.jpg	Resource	Permanent-event	-	Dual	-	"[MP: (*)]Playable on a port or swamp. The site's type moves one step closer to a Free-hold [F]. If already a Free-hold, it becomes a Battleground. This site is worth 1 mp per each of the following conditions: the site is a Battleground, a unique faction is in play at the site; the faction is under Profitable Trade. Each faction in play at the site can only be used for one copy of this card.  During your end-of turn phase, if target site is ""sieged"", place a token on this card. Discard this card when there are 3 tokens are on it"	(*)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Cave-goblins	MEKN	mekn_cavegoblins.jpg	Resource	Faction	Orc	Minion	-	[MP: 1] Playable at any Under-deeps site with a Ruins & Lairs [R] surface site if the influence check is greater than 8.  Standard Modifications: Orcs (+2), Leader (+2), Uruk-hai (-3), Trolls (-5).     tap: take one Fungi from your discard pile to your hand. Cannot be duplicated at a given site.	1	-	Light Infantry	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Cave-trolls	MEKN	mekn_cavetrolls.jpg	Resource	Faction	Troll	Minion	-	[MP: 2(*) Unique. Playable at Creb Durga or The Under-caves if the influence check is greater than 9. Standard Modifications: Stone Trolls (-2).     tap: allow a Grond played on this faction to affect any Free-hold [F], Border-hold [B] or Dark-hold [D] site where this faction is present. Place such a site with this card (or place a token) instead of discarding it from play. This faction is worth an additional mp for each site placed with it (to a maximum of 5 mp).	2	-	Heavy Infantry	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Clan-bound	MEKN	mekn_clanbound.jpg	Resource	Permanent-event	-	Dual	-	Grey or white player only. Playable on a starting company in lieu of a minor item. If the starting company contains 2 or more unique characters with the same home site, at which a unique faction is playable that has at least 2 manifestations (or is a dual resource), you may play as a normal character any character with the same home site (mind restrictions still apply).	-	-	Grey White	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Concealed Entrance	MEKN	mekn_concealedentrance.jpg	Resource	Permanent-event	-	Dual	-	Playable during the site phase on a hidden site. Unless they tap a scout, your opponent's companies cannot enter any version of this site. Discard when any play deck is exhausted or when this site leaves active play. Cannot be duplicated on a given site	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Crebain from Dunland	MEKN	mekn_crebainfromdunland.jpg	Resource	Faction	Animal	Minion	-	[MP: 2] Unique. Playable at any non-Haven site in Dunland if the influence check is greater than 11. Standard Modifications: Saruman is your Wizard (+3), you have Sharku in play (+5).     tap: look at 3 random cards from your opponent's hand, if opponent has a company at a site in Eriador or Wilderland (or any site, if you discard Spying out the Land from hand).	2	-	Light Infantry	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Dagnirdraug	MEKN	mekn_dagnirdraug.jpg	Resource	Special Item	Weapon	Hero	-	[MP: 3; CP: 2] Unique. Weapon. Playable at Osteledan. Also playable at any site in Hollin if you discard (for no effect) a Lost Knowledge card from the company. +2 prowess to a maximum of 9. Warrior only: +4 to prowess against Wolves (to a maximum of 10).     tap: if Wake of War is in play to take a strike from a Wolf attack another character in the company is facing. Bearer makes a CP.	3	-	-	-	-	-	-	-	2.0	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ghost-warriors of Dunfearan	MEKN	mekn_ghostwarriorsofdunfearan.jpg	Resource	Faction	Undead	Dual	-	[MP: 3] Unique. Playable at the Ghost-caves by a sage bearing Ghostbane, or by Aragorn II if Return of the King is in play.     tap: any Gold Chains in the Wind you have in play is not discarded until the end-of-turn phase.     tap: and discard an Undead creature from hand to cancel an attack against one of your companies.	3	-	Heavy Infantry	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ghostbane	MEKN	mekn_ghostbane.jpg	Resource	Special Item	Staff	Dual	-	[MP: 2; CP: 1] Unique. Staff. Playable at The Riddle-caves. +2 prowess against Undead. This item affects a Ringwraith. If bearer defeats a strike from an Undead attack, he may immediately take control of a non-food minor item (which may be played from sideboard or hand). Shadow-magic user only: tap: assign a strike from an Undead attack his company faces to any character at a site in the same or an adjacent region. Bearer makes a CP modified by -2.	2	-	-	-	-	-	-	-	1.0	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Gift of Deceit	MEKN	mekn_giftofdeceit.jpg	Resource	Permanent-event	Command	Minion	-	[SP: 1] Command. Playable on a Dunadan, Dwarf, Elf or Man Warlord. TAP: bring a skill card your War-lord can use from your discard pile to your play deck and shuffle. War-lord makes a CC. Cannot be duplicated by a given player.	-	-	Warlord	-	-	-	-	-	-	tap	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	-	1.0
