Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Adunaphel the Ringwraith	MELE	mele_adunapheltheringwraith.jpg	Character	Avatar	Ringwraith Female	Minion	Fixed	Unique. Manifestation of Adunaphel. Can use spirit-magic. +2 direct influence in Heralded Lord mode. -2 prowess in Fell Rider mode. As your Ringwraith, if at a Darkhaven [V], she may tap to cancel one hazard creature attack not played at a site against any one of your companies.   Home Site: Ulurtsu Nurn 	-	-	Warrior Scout Diplomat Spirit-magic	-	4.0	-	8.0	10.0	-	Ulurtsu Nurn 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0
Akhorahil the Ringwraith	MELE	mele_akhorahiltheringwraith.jpg	Character	Avatar	Ringwraith	Minion	Fixed	Unique. Manifestation of Akhorahil. Can use sorcery, spirit-magic, and shadow-magic. +3 direct influence in Heralded Lord mode. +1 prowess in Fell Rider mode. As your Ringwraith, when he uses a magic card, return it to the play deck and reshuffle.   Home Site: Any site in Nurn 	-	-	Sage Sorcery Spirit-magic Shadow-magic	-	3.0	-	8.0	9.0	-	Any site in Nurn 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Asternak	MELE	mele_asternak.jpg	Character	character	Man	Minion	Fixed	"Unique. +2 direct influence against any faction playable at Variag Camp.  ""'Killer and slave-trader, Asternak knew all the roads and ways in both Khand and Nurn.'""-Kuduk Lore  Home Site: Variag Camp "	2	-	Warrior Diplomat	5.0	2.0	-	5.0	7.0	-	Variag Camp 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Belegorn	MELE	mele_belegorn.jpg	Character	character	Dunadan	Minion	Uncommon	"Unique. Can use spirit-magic.  ""...some single power and will was directing the assult from many quarters upon the survivors of Numenor.""-LotR  Home Site: Carn Dum  "	2	-	Sage Diplomat Spirit-magic	5.0	2.0	-	3.0	7.0	-	Carn Dum  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Broin	MELE	mele_broin.jpg	Character	character	Firebeard Dwarf	Minion	Rare	"Unique. +1 prowess against Orcs and Elves.  ""Though they be slain or broken, they could not be reduced to shadows enslaved to another will.""-LotR  Home Site: Moria "	1	-	Warrior Scout	3.0	0.0	-	3.0	8.0	-	Moria 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Calendal	MELE	mele_calendal.jpg	Character	character	Noldo Elf	Minion	Rare	"Unique. May tap to use a Palantir he bears. +2 direct influence against Elves and Elf factions.  ""...lingered in the twilight of our Sun and Moon but loved best the stars.""-Hob  Home Site: Dol Guldur"	2	-	Scout Sage	6.0	1.0	-	4.0	8.0	-	Dol Guldur	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Carambor	MELE	mele_carambor.jpg	Character	character	Silvan Elf	Minion	Rare	Unique. May tap at the end of his company's movement/hazard phase to allow it to move to an additional site on the same turn. Another site card may be played and another movement/hazard phase immediately follows for his company. The new site path must contain at least one Wilderness [w].   Home Site: Carn Dum  	2	-	Warrior Scout Ranger	6.0	0.0	-	5.0	8.0	-	Carn Dum  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Ciryaher	MELE	mele_ciryaher.jpg	Character	character	Dunadan	Minion	Uncommon	"Unique. Can use shadow-magic.  ""Thus the shadow deepened, and the thought of death darkened the heart s of the people.""-LotR  Home Site: Barad-dur "	2	-	Scout Sage Shadow-magic	5.0	2.0	-	2.0	7.0	-	Barad-dur 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Dogrib	MELE	mele_dogrib.jpg	Character	character	Man	Minion	Uncommon	"Unique. -1 to all corruption checks.  ""'...you may stay here until the Witch-king goes home. For in summer his power wanes; but now his breath is deadly, and his cold arm is long.""-LotR  Home Site: Lossadan Camp "	-	-	Warrior	2.0	0.0	-	4.0	7.0	1.0	Lossadan Camp 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
Dorelas	MELE	mele_dorelas.jpg	Character	character	Man	Minion	Uncommon	"Unique.   ""...the sun went down like blood behind Pinnath Gelin...""-LotRV  Home Site: Lond Galen "	1	-	Warrior Sage	3.0	1.0	-	2.0	7.0	-	Lond Galen 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0
