Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Durlach	MEML	meml_durlach.jpg	Character	Avatar	Balrog	Balrog	-	-	-	Flying Warrior Sage Sorcery	-	4.0	18.0	7.0	10.0	-	Eithel Morgoth, The Under-forges	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[Avatar GI: 18; DI: 4; P/B 7/10]---W/Sa---Balrog. Unique. Can use sorcery. +2 to his company's Under-deeps movement rolls. Durlach's prowess is only modified by -1 when not tapping to face a strike. He is considered The balrog for the purpose of hazard and resource cards and effects. Durlach may not have any followers and may not move to any site that is not his home site. He may tap to take a Demon fana from your discard pile to your hand.             Home site: Eithel Morgoth, The Under-forges.
Lugronk	MEML	meml_lugronk.jpg	Character	character	Half-troll Troll	Minion	-	3	-	Warrior Scout Diplomat	8.0	2.0	-	6.0	9.0	-	Eithel Morgoth, The Under-forge	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 3; Mind: 8; DI: 2; P/B: 6/9]---W/Sc/D---Troll. Unique. Half-troll. Balrog only. Leader. +2 DI against Orcs and Trolls. +2 DI against Balrog specific characters. Discard on a body check result of 9. You may play Warden of the Deeps on him if your opponent is any grey player or any non-hazard manifestation of a  Balrog or Dragon in play, as if opponent was a Balrog avatar. Home site: Eithel Morgoth, The Under-forge
Murtag	MEML	meml_murtag.jpg	Character	character	Stone-troll Troll	Minion	-	2	-	Warrior Ranger	5.0	9.0	0.0	5.0	9.0	-	-	Unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Stone-troll. +2 DI against Trolls. Discard on a body check result of 8 -1 to his prowess and body if not at or moving to an Under-deeps site or surface site. +1 to his company's Under-deeps movement rolls
Echoes of Morgoth's Cries	MEML	meml_echoesofmorgothscries.jpg	Hazard	Short-event	-	Neutral	-	-	-	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Return one unique spawn manifestation to your hand from your discard pile and increase the hazard limit by two.    Alternatively, if Doors of Night is in play, one spawn hazard creature may be played at any Under-deeps site or surface site thereof.     Cannot be duplicated on a given turn
Kemenloke	MEML	meml_kemenloke.jpg	Hazard	Creature	Drake	Neutral	-	2	-	-	-	-	-	18.0	5.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	1.0	Drake. One strike. Playble against a company using Under-deeps movement. Any bearer of Dwarven Light-stone, Fizzling Torch, Star-glass, Noldo Lantern (defender's choice) must be assigned a strike from Kemenloki but receives +4 prowess against the strike
Many Shapes of Power and Fear	MEML	meml_manyshapesofpowerandfear.jpg	Hazard	Permanent-event	Demon Spawn	Neutral	-	-	site	-	-	-	-	15.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 4; P/B: 15/7] Unique. Spawn. Three strikes. When you play this card you must take The Pits of Angband, The Vaults of Utumno, or a Ruins & Lairs [R] Under-deeps site from your location deck and place it with this card. Target site receives an additional automatic-attack: Spawn -- 3 strikes with 15/7 prowess/body. Your companies may still move to this site.     Additionally, any Demon attack receives +1 strike and cannot be cancelled by a skill card
Morgoth's Ring	MEML	meml_morgothsring.jpg	Hazard	Permanent-event	-	Neutral	-	-	-	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. Playable only if Doors of Night is in play; counts   as 3 against the hazard limit. The play of any hazard long-event costs 2 against the hazard limit; place such a card with this card when it is played. Hazards placed with this card are not discarded normally at the beginning of the movement/hazard phase. Any player may (at any time) discard 2 hazards from hand to cancel an effect that would discard Morgoth's Ring or cards placed under it. When this card is discarded, all hazards under it are discarded. Discard when any play deck is exhausted (cannot be cancelled).
Wandering Troll	MEML	meml_wanderingtroll.jpg	Hazard	Creature	Troll	Neutral	-	1	-	-	-	-	-	14.0	5.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	1.0	Troll. One strike. Playable at any Under-deeps site   or against a company moving with Under-deeps movement. -2 to its prowess if not played at an Under-deeps site. Before cancelling an attack or strike from Wandering Troll, make a roll, modified by +3 for each food item discarded from the company and by -3 for each food item in the company not discarded; if the result is  lower than 6, the attack/strike cannot be cancelled
Wield It While I May	MEML	meml_wielditwhileimay.jpg	Hazard	Permanent-event	-	Neutral	-	-	check	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Any character bearing a dual resource item or item of his opposing alignment receives -1 to his CPC. Additionally, if Doors of Night is in play, any character bearing such an item is eliminated instead of discarded by a failed CPC. Discard when any play deck is exhausted. Cannot be duplicated.
Abomination Nursed in Darkness	MEML	meml_abominationnursedindarkness.jpg	Resource	Ally	Spawn	Minion	-	1	-	Winged	-	-	-	-	-	-	tap	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 2; P/B: 5/7] Spawn. Playable at The Under-galleries or The Vaults of Utumno. Winged. When this ally enters play, its controlling character faces a strike with 12 prowess. Abomination receives+2 prowess while at or moving to an Under-deeps or surface site; during CvCC at such a site, you may assign its strike regardless of its status or any resources played.       tap: at any time when you play Great Secrets Buried There and make a roll: reveal an extra number of cards equal to roll's the result
