Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
A Thing of Surpassing Potency	MEMM	memm_athingofsurpassingpotency.jpg	Hazard	Permanent-event	-	Neutral	-	-	ring	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable if The One Ring is in play and borne by a non- Hobbit character with a mind greater than 4. Discard if these conditions are not met. The mp  and all bonusses from other special items in play are modified by -1 (to a minimum   of 1). Additionally, all CP by other ringbearers are modified by -1, and any Narya, Nenya or Vilya cannot be used.
Cursed Journey	MEMM	memm_cursedjourney.jpg	Hazard	Permanent-event/Short-event	-	Neutral	-	-	roadblock	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a grey or white player's company. The hazard player may choose another site path for the company; the region and site of origin and arrival must remain the same, but for each ring item in the company the site path may contain 1 extra region. The new site path must contain a Shadow-land [s] or a Dark-domain [kd]. 
Doomed to Die	MEMM	memm_doomedtodie.jpg	Hazard	Permanent-event	-	Neutral	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	As a permanent event, any character bearing a Ring for Mortal Men targeted by a stature card has his mind reduced by 3. Any character whose mind is reduced to 0 or less due to the effects of this card is eliminated; a Sauron player receives his mp as character mp.      As a short event, playable on a Dunadan or Man character with a body less than 9: character must make a CP modified by -2.
Drawn to Its Master	MEMM	memm_drawntoitsmaster.jpg	Hazard	Short-event	-	Neutral	-	-	ring	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on the bearer of a ring special item. He must make a CP, modified by subtracting the CP the ring gives him. Failing this CP the hazard player may replace the character's new or current site with a site in an adjacent region as close as possible to Gorgoroth (ignore any other effects). If the bearer of The One Ring moves to Dol Guldur or Barad-dur in this manner the game ends: a black player wins the game as though he had recovered The One Ring, otherwise it is a tie.
Fake	MEMM	memm_fake.jpg	Hazard	Short-event	-	Neutral	-	-	ring	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a gold ring item. The ring is now tested; opponent may apply a modifier of +2 or -2 to the roll (before the roll). If a non-unique ring is playable as result of the test, it may be played from hand or discard pile. If a ring special item is played, the bearer must then make a CPC.
Hunt For the Ring	MEMM	memm_huntforthering.jpg	Hazard	Permanent-event	-	Neutral	-	-	play	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	For every ring item in a company one Nazgul or Maia, or one Dunadan or Man hazard creature with an asterix (*) may be played not counting against the hazard limit. Cannot be duplicated.
One Ring to Bring Them All	MEMM	memm_oneringtobringthemall.jpg	Hazard	Permanent-event	-	Neutral	-	-	ring	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. All characters in the same territory as the bearer of The One Ring (or territory adjacent for a character bearing a ring) that are allowed to move must attempt to move to the same site as the bearer of The One Ring. If they may not legally move to that site, they must attempt to move to the nearest possible site (defender's choice).
Only Four Has He	MEMM	memm_onlyfourhashe.jpg	Hazard	Permanent-event	-	Neutral	-	-	agent	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a strike from an agent attacking a character bearing a ring special item. May be played on-guard and revealed if an agent attacks. If played on My Precious, the strike receives +4 prowess and cannot be cancelled. Discard this card if the strike is not successful. Otherwise, no body check is made, but the agent takes control of a ring special item borne by the defending character (attackers's choice); Any character defeating a strike from this agent may take control of the ring (no body check is made).   
Under His Dominion	MEMM	memm_underhisdominion.jpg	Hazard	Permanent-event	Prisoner	Neutral	-	-	-	-	-	-	-	-	-	-	tap	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a character taken prisoner at a Dark-hold [D]. Make a roll: if the result is greater than the character's mind (+3 for Hobbits), the character becomes a minion agent controlled by the hazard player. Discard all other hazard permanent-events on the agent.  This card cannot be targeted by resource events.  During the organization phase, a sage at the same site as the character may tap to attempt to remove this card. Make a roll; add 1 for each additional sage or diplomat in the company that taps in support: if the result plus the character's mind is greater than 10, discard this card; the character joins the sage's company and is controlled by the sage's controlling player.
You've Put Your Finger In It	MEMM	memm_youveputyourfingerinit.jpg	Hazard	Permanent-event	-	Neutral	-	-	HL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a non-Wizard, non-Ringwraith character bearing a ring. The hazard limit for the character's company is increased by one for every ring item in the company. Cannot be duplicated on a given character.  During the organisation phase, a ranger in the target character's company may tap to attempt to remove this card. Make a roll; if the result is greater than 7, discard this card.
A Weapon in the Right Hands	MEMM	memm_aweaponintherighthands.jpg	Resource	Permanent-event	One Ring	Hero	-	-	-	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[Prowess: +1; CP: +1] Unique. Playable on the One Ring. The item cannot concealed or transferred (unless bearer is eliminated by a body check). If bearer is in Barad-dur ( or Dol Guldur if opponent is the Necromancer) he faces an attack during the site phase (alone): Maia - 1 strike with 24 prowess adn 12 body; the strike cannot be canceled, reduced, redirected, or made ineffectual. If the strike is defeated, and bearer of the One Ring is still in play after a corruption check during the end of turn phase, you win the game, otherwise you lose.
Between Two Worlds	MEMM	memm_betweentwoworlds.jpg	Resource	Permanent-event	Stature	Dual	-	-	stature	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[CP: 8] Unique. Stature card. Playable on a Ring for Mortal Men if borne by a Man or Dunadan with a normal mind of 8 or more. Bearer may tap test any gold ring item in his company. All non-Maia, non-Nazgul, non-Undead strikes against the bearer are ineffectual. Bearer may not have followers. Bearer must make a  CP to move. Bearer may not bear non-ring items.
Bound up with It	MEMM	memm_boundupwithit.jpg	Resource	Short-event	-	Dual	-	-	-	-	-	-	-	-	-	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Unique. All gold ring items in play are now tested; start tests with the active player. Only ring special items with a printed mp of 3 or more may be played as a result of these tests; shuffle on tested gold ring items bock inot their player's decks..     Additionally, any Narya, Nenya or Vilya played this turn may be shuffled into the play deck instead of discarded. Any Ring for Mortal Men in the discard pile may be shuffled into the play deck. This card may also be played as a hazard.
Bounty-hunter	MEMM	memm_bountyhunter.jpg	Resource	Permanent-event	-	Minion	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable during the organization phase on a agent or ranger orc you have in play as character. The character now is an agent. Discard any allies, hazards, and/or Open to the Summons he controls. Turn him face down and place him at another site in the same or an adjacent region as his current site. Target agent makes a CP during his untap phase
Celebrimbor's Legacy	MEMM	memm_celebrimborslegacy.jpg	Resource	Permanent-event	Lore	Fallen/Lord	-	-	-	-	-	-	-	-	-	-	tap	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	-	1.0	[SP: 1] Lore. Place this card on your sage avatar when he is in play. The avatar may tap to test a gold ring in his company; afterwards he makes a CC modified by -1.     tap: if the company contains a Lost Knowledge card, to take one Test of Lore or Wisdom to Wield from your discard pile to your hand. Cannot be duplicated by a given player
Eru's Gift	MEMM	memm_erusgift.jpg	Resource	Permanent-event	-	Hero	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Whenever a Man or Dunadan is eliminated (not by a Cc), any Man, Dunadan, Hobbit, or Wizard at the site (or in the company) may either untap or discard all hazard permanent events played on him; any character doing so makes a CC. Afterwards, discard this card
