Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Agog	MENW	menw_agog.jpg	Character	character	Ice-orc Orc	Minion	-	3	-	Warrior Ranger Diplomat	8.0	1.0	-	4.0	7.0	-	Mornost	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 3; Mind: 8; DI: 2; P/B: 4/7]---W/R/D---Orc. Unique. Ice-orc. Leader. Discard on a body check result of 7. +1 prowess against Elves. +2 DI against Ice-orcs. +2 DI against the Ice-orcs and Orcs of the Bleak Mountains factions. No More Nonsense may be duplicated on Agog.          Agog receives +2 to prowess and body when at or moving to a site in the Northern Waste, and +1 prowess if The Witch-king of Angmar is in play.  Home site: Mornost.
Dakalmog	MENW	menw_dakalmog.jpg	Character	character	Ice-orc Orc	Minion	-	2	-	Warrior Scout	6.0	0.0	-	6.0	9.0	-	Kula Dularuath	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 6; DI: 0; P/B: 6/9]---W/Sc---Orc. Unique. Ice-orc. Leader. Discard on a body check result of 9. +2 DI against Orcs. +2 DI against Ice-orcs.  Home site: Kula Dularuath.
Durba	MENW	menw_durba.jpg	Character	character	Ice-orc Orc	Minion	-	1	-	Warrior Ranger	3.0	0.0	-	3.0	8.0	-	Kula Dularuath	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 3; DI: 0; P/B: 3/8]---W/R---Orc. Unique. Ice-orc. Discard on a body check result of 8. +1 prowess if controlling a wolf ally.     tap: heal a wolf ally in the company (from wounded to tapped). Home site: Kula Dularuath.
Galgrinic	MENW	menw_galgrinic.jpg	Character	character	Umit	Hero	-	2	-	Warrior Sage	5.0	1.0	-	4.0	7.0	-	Vasaran Ahjo	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 2; Mind: 5; DI: 1; P/B: 4/7]---W/Sa---Umit.Unique. +1 prowess against Dragons and Drakes. +2 EI against Umli. + 2 EI against the Umli Traders faction. Home site: Vasaran Ahjo.
Heledwen	MENW	menw_heledwen.jpg	Character	character	Nando Elf	Hero	-	1	-	Warrior Scout	4.0	0.0	-	4.0	8.0	-	any Elf-hold in the Northern Waste	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 0; P/B: 4/8]---W/Sc---Elf. Unique. Nando. +1 prowess when Helectil, Light of the North is in play.    tap: cancel any ongoing effects of Jaanainen for her company. Home site: any Elf-hold in the Northern Waste.
Ice-troll	MENW	menw_icetroll.jpg	Character	character	Wild-troll Troll	Minion	-	1	-	Warrior Ranger	3.0	0.0	-	5.0	9.0	-	Any non-Dragon's lair Ruins & Lairs in the Northern Waste	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 3; DI: 0; P/B: 5/9]---W/R---Wild-troll. Discard on a body check result of 9.  +1 prowess against Dwarves. -1/-2 to his prowess and body if not at or moving to a site in the Northern Waste. Home site: Any non-Dragon's lair Ruins & Lairs in the Northern Waste.
Karhunkasi	MENW	menw_karhunkasi.jpg	Character	character	Man	Hero	-	-	-	Warrior	2.0	0.0	-	4.0	8.0	-1.0	Hyvat Kalat, Ruskea Vene	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 0; Mind: 2; DI: 0; P/B: 4/8]---W---Man. Unique. +2 prowess against Wolves and Bears.  -1 to all of his CC.  -1 to his influence checks.Home site: Hyvat Kalat, Ruskea Vene.
Karvainen	MENW	menw_karvainen.jpg	Character	character	Man	Hero	-	1	-	Sage Diplomat	4.0	1.0	-	2.0	8.0	-	Leiri, Ruskea Vene	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 4; DI: 1; P/B: 3/8]---Sc/D---Man. Unique. Spirit-namer. +1 to his riddling rolls. When Karvainen enters play, he may take control of one minor rune item, which may be taken from your sideboard, discard pile, or hand. Home site: Leiri, Ruskea Vene.
Kenwe Foryaren	MENW	menw_kenweforyaren.jpg	Character	character	Noldo Elf	Hero	-	1	-	Ranger	3.0	0.0	-	3.0	9.0	-	Evermist, any Border-hold in Northern Waste	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 3; DI: 0; P/B: 3/9]---R---Elf. Unique. Noldo. May use any bow regardless of its card text. When Kenwe Foryaren comes into play, you may search your play deck (reshuffle) or discard pile for a minor item or short-event with a healing effect. Discard if his company moves to a site not in the Northern Waste or Eriador, or if a Wizard is in his company outside the organization phase. Home site: Evermist, any Border-hold in Northern Waste.
Konihrabn	MENW	menw_konihrabn.jpg	Character	Agent	Man	Minion	-	1	-	Scout	3.0	0.0	-	3.0	8.0	-	Carn Dum, Leiri, Ruskea Vene	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[MP: 1; Mind: 3; DI: 0; P/B: 3/8]---Sc---Man. Unique. Agent. +2 EI against Man factions playable in the Northern Waste or Angmar.     Agent only: tap: make any non-unique Orc creature playable against a company leaving his current Border-hold [B] or Ruins & Lairs [R] site in the Northern Waste. Home site: Carn Dum, Leiri, Ruskea Vene.
