Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
The Dark Captain	MERN	mern_thedarkcaptain.jpg	Character	Avatar	Ringwraith	Minion	-	-	-	Warrior Sage Diplomat	-	3.0	20.0	-	-	-	Carn Dum, Minas Morgul	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	[Avatar GI: 20; DI: 3; P/B: 9/12]---W/Sa/D---Ringwraith. Unique. Manifestation of The Witch-king of Angmar. Leader. +3 DI against Orc, Troll, and Man factions. May move using starter movement to Orc-holds and Troll-holds. For each faction in his current site's region, he may control one Ringwraith follower. One such follower may be played at his current site each organization phase. If at a site in one of your factions' current region, his company may use region movement; if you have no faction in the region of the company's site at the beginning of the site phase, replace their site with nearest Darkhaven [K]. Home site: Carn Dum, Minas Morgul.
Burdensome Commands	MERN	mern_burdensomecommands.jpg	Hazard	Permanent-event	-	Neutral	-	-	-	-	-	-	-	-	-	-	place	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a non-avatar character if your opponent has a mustering card in play. Target character receives -2 mind, -1 DI and -1 prowess (all to a minimum of 1). Discard this card when target character heals. Cannot be duplicated on a given character.
Come Forth	MERN	mern_comeforth.jpg	Hazard	Short-event	-	Neutral	-	-	faction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a faction that can move but is not moving. If target faction can legally do so it must now move to one of your factions' current region (opponent's choice). 
Dark is the Hour	MERN	mern_darkisthehour.jpg	Hazard	Permanent-event	-	Neutral	-	-	faction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a unique faction not in its home region. -1 to target faction's prowess when attacking in faction battles. Discard if target faction initiates and wins a faction battle. Cannot be duplicated on a given faction.
Devouring Wyrms	MERN	mern_devouringwyrms.jpg	Hazard	Permanent-event	-	Neutral	-	-	faction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Attacks from ahunt Dragon manifestations affect any factions moving through a region affected by such a manifestation. Treat such an attack as a faction battle; the ahunt Dragon has a base prowess equal to its kill mp and the hazard player makes its roll. Any moving factions affected by target ahunt Dragon defend in the same battle. If the defending faction(s) wins, the ahunt Dragon is discarded.
Fearful Sun	MERN	mern_fearfulsun.jpg	Hazard	Permanent-event	Environment	Neutral	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Environment. If Doors of Night is in play, hero factions may move 1 less region.   If Gates of Morning is in play, minion factions may move 1 less region. Once this card is in play it is considered neither a resource nor a hazard. Cannot be duplicated.
Lands Untended	MERN	mern_landsuntended.jpg	Hazard	Permanent-event	-	Neutral	-	-	faction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a faction's home region, if the faction is in play and not in the region (or at a site therin). The region's type moves one step closer to a Wilderness [w]. Discard if a faction with target region as its home region is in the region. Cannot be duplicated on a given region.
Lure of Conquest	MERN	mern_lureofconquest.jpg	Hazard	Permanent-event	Corruption	Neutral	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Corruption. Playable on opponent's avatar if he has a mustering card in play. Target avatar receives 1 CP for each faction he has in play that is not in its home region. Target avatar makes a CP whenever an opposing faction is eliminated. Whenever one of target player's factions is wounded or eliminated, he may make a roll: if the result is greater than 8, discard this card.
Subtle Treachery	MERN	mern_subtletreachery.jpg	Hazard	Permanent-event	-	Neutral	-	(4)	agent	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Playable on a faction, if you have a revealed  agent at his home site in the faction's current region. Target faction may not move and gives one less mp. If a strike from an attack by this agent fails, place this card in your opponent's mp; it is worth 4 mp.
The Enemy is at Hand	MERN	mern_theenemyisathand.jpg	Hazard	Long-event	-	Neutral	-	-	faction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0	Factions cannot move through a region that is the current region of a faction of the opposing alignment; they may still move to or from such a region and if their movement through such a region is already declared they must stop in the region. Additionally, garrisonned factions cannot move to or battle in their current region.
