Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Abur	MESL	mesl_abur.jpg	Character	character	Man	Dual	-	[MP: 1; Mind: 4; DI: 1; P/B: 5/7]---W---Man. Unique. +1 prowess while at or moving to a site in a Desert [e]. +2 DI against the Junast's Guard faction. May not be in the company with overt characters.Home site: Tresti.	1	-	Warrior	4.0	1.0	-	5.0	7.0	-	Tresti	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Angamaite	MESL	mesl_angamaite.jpg	Character	character	Dunadan	Minion	-	[MP: 2; Mind: 6; DI: 1; P/B: 5/9]---W/D---Dunadan. Unique. +2 DI against Dunedain. While you have Black Numenoreans in play Angamaite is a leader.Home site: Gobel Mirlond, Umbar.	2	-	Warrior Diplomat	6.0	1.0	-	5.0	9.0	-	Gobel Mirlond, Umbar	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Araudagul	MESL	mesl_araudagul.jpg	Character	character	Half-troll Troll	Minion	-	[MP: 2; Mind: 5; DI: 2; P/B: 5/9]---W/R---Troll. Unique. Half-troll. Leader. Discard on a body check result of 9. +1 DI against Orcs. +2 DI against Orcs of the Ered Harmal faction. Home site: Mount Arysis.	2	-	Warrior Ranger	5.0	2.0	-	5.0	9.0	-	Mount Arysis	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Boron	MESL	mesl_boron.jpg	Character	character	Stiffbeard Dwarf	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 3/7]---W/Sc---Dwarf. Unique. Stiffbeard. +1 prowess against Orcs and Trolls. +1 DI against Dwarves.Home site: Mablad-dum, Narad-dum.	1	-	Warrior Scout	2.0	0.0	-	3.0	7.0	-	Mablad-dum, Narad-dum	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Burdilgoth	MESL	mesl_burdilgoth.jpg	Character	character	Half-orc Orc	Minion	-	[MP: 2; Mind: 6; DI: 1; P/B: 5/8]---W/R/D---Orc. Unique. Half-orc. Leader. Can use spirit-magic. +2 DI against Half-orcs and against Men with a home site in Harnendor. May be in the company with Dunedain with a home site in the Sunlands or Great Central Plains. Home site: Amrun.	2	-	Warrior Ranger Diplomat Spirit-magic	6.0	1.0	-	5.0	8.0	-	Amrun	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Carlon	MESL	mesl_carlon.jpg	Character	character	Man	Minion	-	[MP: 1; Mind: 4; DI: 1; P/B: 4/8]---W/D---Man. Unique. +1 DI against Men. +2 DI against  factions playable at Bozisha-Dar. He may uses Threats against any influence attempt he makes, not just against a faction. Home site: Bozisha-Dar.	1	-	Warrior Diplomat	4.0	1.0	-	4.0	8.0	-	Bozisha-Dar	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Dar	MESL	mesl_dar.jpg	Character	character	Dwarf	Dual	-	[MP: 1; Mind: 4; DI: 0; P/B: 4/7]---W/Sa---Dwarf. Unique. Stiffbeard. +2 DI against Dwarves.  tap: take one Dwarven Cunning from your discard pile to your hand.Home site: Narad-dum, Tul Harar.	1	-	Warrior Sage	4.0	0.0	-	4.0	7.0	-	Narad-dum, Tul Harar	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Dolin	MESL	mesl_dolin.jpg	Character	character	Stiffbeard Dwarf	Hero	-	[MP: 1; Mind: 3; DI: 1; P/B: 3/8]---W/D---Dwarf. Unique. Stiffbeard. +1 prowess against Orcs. +1 DI against characters with a home site in Sirayn. If Dolin succeeds in influencing Travelling Merchants, you may bring either a Longbottom Leaf or Pipe Weed from your sideboard to your hand.Home site: Tartaust, Narad-dum.	1	-	Warrior Diplomat	3.0	1.0	-	3.0	8.0	-	Tartaust, Narad-dum	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Glorin	MESL	mesl_glorin.jpg	Character	Agent	Dwarf	Dual	-	[MP: 1; Mind: 4; DI: 0; P/B: 4/8]---W/R---Dwarf. Unique. Stiffbeard. Agent. Grey Agent. +1 prowess against Men and Orcs.     Agent only: tap: discard one food item from a company at his current site (hazard player's choice). Home site: Azagarbhun, Bar Falin, Mablad-dum.	2	-	Warrior Ranger	4.0	0.0	-	4.0	8.0	-	Azagarbhun, Bar Falin, Mablad-dum	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Harngorin	MESL	mesl_harngorin.jpg	Character	character	Man	Dual	-	[MP: 1; Mind: 3; DI: 1; P/B: 4/7]---Sc/D---Man. Unique. +3 DI against the Gusar faction. He may play Wild Hounds at any Ruins & Lairs [R] in a Desert [e] region (as if at a Wilderness [w]). Your Wild Hounds in play at such a site may also be discarded to cancel an attack keyed to Desert [e]. Home site: Tresti, Tul Poac.	1	-	Scout Diplomat	3.0	1.0	-	4.0	7.0	-	Tresti, Tul Poac	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Hord	MESL	mesl_hord.jpg	Character	character	Man	Dual	-	[MP: 1; Mind: 3; DI: 0; P/B: 3/7]---Sc/R---Man. Unique. +1 DI against Man factions playable at a site in a Desert region.Tap during the organization phase at a site in a Desert region to look at three cards on opponent's play deck (return them in the same order). Home site: Ankruz, Korondaj.	1	-	Scout Ranger	3.0	0.0	-	3.0	7.0	-	Ankruz, Korondaj	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Jaeru	MESL	mesl_jaeru.jpg	Character	Agent	Man	Minion	-	[MP: 1; Mind: 4; DI: 1, P/B: 4/8]---W/R---Man. Unique. Agent. Desert-screamer. +1 prowess when at or moving to a site in a Desert [e].     Agent only: Discard Jaeru at a company's new site in a Desert [e] to replace it with another site in the same region.Home site: Bozisha-Dar, Bur Esmer, Maresh.	1	-	Warrior Ranger	4.0	1.0	-	4.0	8.0	-	Bozisha-Dar, Bur Esmer, Maresh	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Jamir	MESL	mesl_jamir.jpg	Character	character	Man	Hero	-	[MP: 1; Mind: 4; DI: 1; P/B: 3/9]---R/D---Man. Unique. +2 direct influence against factions playable at a site in a Desert region.Home site: Norjadar, Sudu Call.	1	-	Ranger Diplomat	4.0	1.0	-	3.0	9.0	-	Norjadar, Sudu Call	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Jehn Remak	MESL	mesl_jehnremak.jpg	Character	character	Man	Dual	-	[MP: 0; Mind: 2; DI: 0; P/B: 3/7]---R---Man. Unique. Unless he is one of the starting characters, he may only be brought into play at his home site. When Jehn controls a horse ally: +2 prowess and he receives the warrior skill.Home site: An Karagmir, Maresh.	-	-	Ranger	2.0	0.0	-	3.0	7.0	-	An Karagmir, Maresh	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
