Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	Text	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard
Baugur	METI	meti_baugur.jpg	Character	Agent	Half-orc Orc	Minion	-	[MP: 1; Mind: 4; DI: 2; P/B: 4/8]---W---Orc. Unique.  Half-orc.  Agent.  Leader.  Discard on a body check result of 8.  +2 direct influence against Orcs and Orc factions.  Agent only:  Cannot move to Free-holds [F] and Border-holds [B].  Home site: Isengard.	1	-	Warrior	4.0	2.0	-	4.0	8.0	-	Isengard	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Bodyguard	METI	meti_bodyguard.jpg	Character	character	Man	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 2/7]---W---Man. Unless he is among the starting characters, may only be brought into play at his home site or a hold of your avatar's race (Man if Wizard). Bodyguard has the same race as your avatar (Man if Wizard). Discard if not controlled by a character outside the organization phase; if controlled by a character with a mind of 5 or more, he costs no influence to control.      Bodyguard must always be assigned a strike from an attack before a strike can be assigned to his controlling character. Cannot be duplicated by a given player. Home site: any Free-hold.	-	-	Warrior	2.0	0.0	-	2.0	7.0	-	any Free-hold	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Ceorl	METI	meti_ceorl.jpg	Character	character	Man	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 3/7]---W/Sc---Man. Unique. tap: during the movement/hazard phase to cancel an attack against his company, if Horses was played for his moving company that turn.Home site: Helm's Deep.	-	-	Warrior Scout	2.0	0.0	-	3.0	7.0	-	Helm's Deep	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Dunhere	METI	meti_dunhere.jpg	Character	character	Man	Hero	-	[MP: 1; Mind: 3; DI: 1; P/B: 4/7]---W---Man. Unique. +2 DI against the Men of Harrowdale faction and against characters with home site Dunharrow.Home site: Dunharrow.	1	-	Warrior	3.0	1.0	-	4.0	7.0	-	Dunharrow	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Elfhelm	METI	meti_elfhelm.jpg	Character	character	Man	Hero	-	[MP: 1; Mind: 4; DI: 2; P/B: 4/7]---W/D---Man. Unique.  +1 prowess against Men, Orcs and Wolves.Home site: Edoras.	1	-	Warrior Diplomat	4.0	2.0	-	4.0	7.0	-	Edoras	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Eothain	METI	meti_eothain.jpg	Character	character	Man	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 3/8]---W/R---Man. Unique. -1 to his CPC. -1 to his influence attempts.Home site: Dunharrow.	-	-	Warrior Ranger	2.0	0.0	-	3.0	8.0	-	Dunharrow	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Freca	METI	meti_freca.jpg	Character	Agent	Man	Minion	-	[MP: 2; Mind: 5; DI: 2; P/B: 4/8]---W/D---Man. Unique. Agent.  +1 direct influence against Riders of Rohan and Dunlendings.  Home site: Edoras, Dunnish Clan-hold.	1	-	Warrior Diplomat	5.0	2.0	-	4.0	8.0	-	Edoras, Dunnish Clan-hold	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Garulf	METI	meti_garulf.jpg	Character	character	Man	Hero	-	[MP: 0; Mind: 1; DI: 0; P/B: 2/7]---W---Man. Unique. -1 to his CP. -1 to his influence attempts. Garulf receives +1 prowess if he controls a horse ally. Home site: Dunharrow.	-	-	Warrior	1.0	0.0	-	2.0	7.0	-	Dunharrow	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Grimbold	METI	meti_grimbold.jpg	Character	character	Man	Hero	-	[MP: 1; Mind: 3; DI: 1; P/B: 4/7]---W/R---Man. Unique. +1 prowess against Orcs and Wolves.  +2 DI against the Men of Westfold faction and against characters with home site Helm's Deep.Home site: Helm's Deep.	1	-	Warrior Ranger	3.0	1.0	-	4.0	7.0	-	Helm's Deep	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Guthlaf	METI	meti_guthlaf.jpg	Character	character	Man	Hero	-	[MP: 0; Mind: 2; DI: 0; P/B: 3/6]---W---Man. Unique. +2 to his body when in a company with Theoden.Home site: Edoras.	-	-	Warrior	2.0	0.0	-	3.0	6.0	-	Edoras	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
Morwen of Lossarnach	METI	meti_morwenoflossarnach.jpg	Character	character	Dunadan	Hero	-	[MP: 1; Mind: 3; DI: 1; P/B: 2/7]---Sa/D---Dunadan. Unique. +3 DI against Theoden and against factions normally playable at her home sites.   +5 prowess against Nazgul and his body is halved (round up). Home site: Edoras, Lossarnach.	1	-	Sage Diplomat	3.0	1.0	-	2.0	7.0	-	Edoras, Lossarnach	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	1.0
