Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Adrazar	METW	metw_adrazar.jpg	Character	character	Dunadan	Hero	Fixed	1	-	Scout Diplomat	3.0	1.0	-	3.0	6.0	-	Dol Amroth 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +1 direct influence against all factions.  ""He encouraged all men of worth from near or far to enter his service, and to those who proved trustworthy he gave rank and reward.""-LotR  Home Site: Dol Amroth"
Alatar	METW	metw_alatar.jpg	Character	Avatar	Wizard	Hero	Fixed	-	-	Warrior Scout Ranger Sage Spell	-	10.0	20.0	6.0	9.0	-	Edhellond  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	0.0	Unique. During the movement/hazard phase, the number of cards that opponent draws based on Alatar's company's movement is reduced by one. If in a haven when a hazard creature is played on another company, he may join that company and face one of the hazard creature's strikes; he must make a corruption check immediately following the attack, and, if untapped, he must tap.   Home Site: Edhellond
Anborn	METW	metw_anborn.jpg	Character	character	Dunadan	Hero	Uncommon	-	-	Scout Ranger	2.0	0.0	-	2.0	8.0	-	Pelargir 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against the Men of Lebennin faction.  ""'Now I have him at the arrow-point,' said Anborn. 'Shall I not shoot, Captain? For coming unbidden to this place death is our law.'""-LotRIV  Home Site: Pelargir "
Annalena	METW	metw_annalena.jpg	Character	character	Silvan Elf	Hero	Fixed	1	-	Scout Sage	3.0	0.0	-	3.0	8.0	-	Edhellond 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique.  ""...the Gift of the Elf-minstrels, who can make the things of which they sing appear before the eyes of those that listen.""-LotR  Home Site: Edhellond "
Aragorn II	METW	metw_aragornii.jpg	Character	character	Dunadan	Hero	Fixed	3	-	Warrior Scout Ranger	9.0	3.0	-	6.0	9.0	-	Bree 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against the Rangers of the North faction. -3 Marshaling points if eliminated.  ""All that is gold does not glitter, Not all those who wander are lost...""-LotRI  Home Site: Bree "
Arinmir	METW	metw_arinmir.jpg	Character	character	Nando Elf	Hero	Uncommon	1	-	Sage Diplomat	4.0	2.0	-	2.0	7.0	-	Edhellond 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against the Variags of Khand faction.  ""They dwelt most often by the edges of the woods, from which they could escape at times to hunt, or to ride and run over open lands by moonlight or starlight...""-Hob  Home Site: Edhellond "
Arwen	METW	metw_arwen.jpg	Character	character	Noldo Elf	Hero	Rare	1	-	Scout Sage	3.0	0.0	-	2.0	8.0	-	Rivendell 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +7 direct influence only usable toward Aragorn II.  ""The braids of her dark hair were touched by no frost; her white arms and clear face were flawless and smooth, and the light of stars was in her eyes...queenly she looked, and thought and knowledge were in her glance...""-LotRII  Home Site: Rivendell "
Balin	METW	metw_balin.jpg	Character	character	Longbeard Dwarf	Hero	Uncommon	2	-	Warrior Sage	5.0	2.0	-	4.0	7.0	-	Blue Mountain Dwarf-hold  	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 prowess against orcs. +1 direct influence against Dwarves and Dwarf factions.  ""'Well, it is the first time that even a mouse has crept along carefully and quietly under my very nose and not been spotted,' said Balin, 'and I take off my hood to you.' Which he did.""-Hob  Home Site: Blue Mountain Dwarf-hold  "
Bard Bowman	METW	metw_bardbowman.jpg	Character	character	Man	Hero	Fixed	-	-	Warrior Scout	2.0	0.0	-	3.0	6.0	-	Lake-town 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against the Men of Northern Rhovanian faction.  ""Their captain was Bard, grim-voiced and grim-faced, whose friends had accused him of prophesying floods and poisoned fish, though they knew his worth and courage.""-Hob  Home Site: Lake-town "
Barliman Butterbur	METW	metw_barlimanbutterbur.jpg	Character	character	Man	Hero	Uncommon	-	-	Warrior	1.0	0.0	-	2.0	6.0	1.0	Bree 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. -1 to all of his corruption checks. -1 to all influence checks against factions.  ""...a short fat man with a bald head and a red face... He seemed capable of an endless stream of talk, however busy he might be.""-LotRI  Home Site: Bree "
Beorn	METW	metw_beorn.jpg	Character	character	Man	Hero	Fixed	2	-	Warrior Ranger	7.0	2.0	-	7.0	9.0	-	Beorn's House 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against the Beornings faction.  ""...a huge man with thick, black beard and hair, and great bare arms and legs knotted muscles.""-Hob  Home Site: Beorn's House "
Beregond	METW	metw_beregond.jpg	Character	character	Dunadan	Hero	Fixed	-	-	Warrior	2.0	0.0	-	4.0	8.0	1.0	Minas Tirith 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. -1 to all of his corruption checks. +1 to influence checks against factions.  ""...Beregond laughed, 'I am no captain. ...being but a plain man of arms of the Third Company of the Citadel...to be only a man of arms of the Guard...is held worthy in the city, and such men have honour...'""-LotRV  Home Site: Minas Tirith "
Beretar	METW	metw_beretar.jpg	Character	character	Dunadan	Hero	Uncommon	2	-	Warrior Ranger	5.0	1.0	-	5.0	8.0	-	Bree 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against the Rangers of the North faction.  ""When the kingdom ended the Dunedain passed into the shadows and became a secret and wandering people, and their deeds and labours were seldom sung or recorded.""-LotR  Home Site: Bree "
Bergil	METW	metw_bergil.jpg	Character	character	Dunadan	Hero	Uncommon	-	-	Scout	2.0	0.0	-	1.0	9.0	-	Minas Tirith 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique.  ""The boy drew himself up proudly, 'I am Bergil son of Beregond of the Guards,' he said.""-LotRV  Home Site: Minas Tirith "
Bifur	METW	metw_bifur.jpg	Character	character	Firebeard Dwarf	Hero	Common	-	-	Warrior	2.0	0.0	-	4.0	7.0	1.0	Blue Mountain Dwarf-hold 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +1 prowess against Orcs. -1 to all of his corruption checks. -1 to influence checks against factions.  ""...for Bifur and Bombur had given a lot of trouble, and fought like mad, as dwarves will when cornered.""-Hob  Home Site: Blue Mountain Dwarf-hold "
Bilbo	METW	metw_bilbo.jpg	Character	character	Hobbit	Hero	Rare	2	-	Scout Sage	5.0	1.0	-	1.0	9.0	-4.0	Bag End 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Unless he is one of the starting characters, he may only be brought into play at his home site. All of his corruption checks are modified by +4. -2 Marshaling points if eliminated.  ""'I am Ringwinner and Luckwearer...'""-Hob  Home Site: Bag End "
Bofur	METW	metw_bofur.jpg	Character	character	Firebeard Dwarf	Hero	Common	-	-	Warrior	2.0	0.0	-	4.0	7.0	1.0	Blue Mountain Dwarf-hold 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +1 prowess against Orcs. -1 to all of his corruption checks. -1 to influence checks against factions.  ""Bifur and Bofur went out too, and came back with clarinets that they had left among the walking sticks.""-Hob  Home Site: Blue Mountain Dwarf-hold "
Bombur	METW	metw_bombur.jpg	Character	character	Firebeard Dwarf	Hero	Uncommon	-	-	Warrior	1.0	0.0	-	3.0	6.0	1.0	Blue Mountain Dwarf-hold 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +1 prowess against Orcs. -1 to all of his corruption checks. -1 to influence checks against factions.  ""'I am too fat for such fly-walks,' he said. 'I should turn dizzy and tread on my beard, and then you would be thirteen again.'""-Hob  Home Site: Blue Mountain Dwarf-hold "
Boromir II	METW	metw_boromirii.jpg	Character	character	Dunadan	Hero	Fixed	1	-	Warrior	4.0	1.0	-	6.0	7.0	1.0	Minas Tirith 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against the Men of Anorien faction. -1 to all of his corruption checks.  ""'And very valiant indeed he was: no heir of Minas Tirith has for long years been so hardy in toil, so onward in battle, or blown a mightier note on the Great Horn.'""-LotRIV  Home Site: Minas Tirith "
Celeborn	METW	metw_celeborn.jpg	Character	character	Sinda Elf	Hero	Fixed	2	-	Warrior Sage	6.0	1.0	-	6.0	9.0	-	Lorien 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +5 direct influence that is only usable against Galadriel.  ""...and the hair of Lord Celeborn was of silver long and bright; but no sign of age was upon them, unless in the depths of their eyes; for these were keen as lances in the starlight, and yet profound, the wells of deep memory.""-LotRII  Home Site: Lorien "
Cirdan	METW	metw_cirdan.jpg	Character	character	Sinda Elf	Hero	Rare	3	-	Warrior Sage Diplomat	8.0	4.0	-	6.0	8.0	-	Grey Havens 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Unique. When Cirdan is at the Grey Havens, his controlling player may keep one more card than normal in his hand. May tap to cancel one attack keyed to a Coastal Sea region. +2 direct influence against the Elves of Lindon faction. -3 Marshaling points if eliminated.   Home Site: Grey Havens 
Dain II	METW	metw_dainii.jpg	Character	character	Longbeard Dwarf	Hero	Rare	2	-	Warrior Diplomat	7.0	3.0	-	5.0	8.0	-	Iron Hill Dwarf-hold 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against Iron Hill Dwarves. +2 prowess against Orcs. +1 direct influence against Men and Man factions.  ""...Dain...became King under the Mountain, and...many other dwarves gathered to his throne...""-Hob  Home Site: Iron Hill Dwarf-hold "
Damrod	METW	metw_damrod.jpg	Character	character	Dunadan	Hero	Uncommon	-	-	Scout Ranger	2.0	0.0	-	2.0	7.0	-	Vale of Erech 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against the Men of Lamedon faction.  ""...and they were Rangers of Ithilien; for they were descended from folk who lived in Ithilien at one time, before it was overrun.""-LotRIV  Home Site: Vale of Erech "
Denethor II	METW	metw_denethorii.jpg	Character	character	Dunadan	Hero	Rare	1	-	Warrior Sage	4.0	2.0	-	3.0	6.0	-	Minas Tirith 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +2 direct influence against the Tower Guard of Minas Tirith faction.  ""Pippin saw his carven face with its proud bones and skin like ivory, and the long curved nose between his dark deep eyes... A pale smile, like a gleam of cold sun on a winter's evening, passed over the old man's face...""-LotRIV  Home Site: Minas Tirith "
Dori	METW	metw_dori.jpg	Character	character	Longbeard Dwarf	Hero	Uncommon	-	-	Warrior	1.0	0.0	-	3.0	6.0	1.0	Blue Mountain Dwarf-hold 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. +1 prowess against Orcs. -1 to all of his corruption checks. -1 to influence checks against factions.  ""'I can't always be carrying burglars on my back,' said Dori, 'down tunnels and up trees! What do you think I am? A porter?'""-Hob  Home Site: Blue Mountain Dwarf-hold "
