Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
Alatar	MEWH	mewh_alatar.jpg	Character	Avatar	Wizard	Fallen-wizard	Common	-	Alatar	Warrior Scout Ranger Sage Spell	-	10.0	17.0	7.0	9.0	-	"Any non-""Dragon's lair"" Ruins & Lairs "	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Hazards your companies defeat (even with *) are worth full kill Marshaling points. I you have more than 7 stage points, all detainment attacks against your companies attack normally instead. If at one of his Wizardhavens [W] when a hazard creature attacks one of your companies, he may immediately join that company. Alatar must face a strike from the creature (in all cases). Following all of the creature's attacks, Alatar must tap (if untapped) and make a corruption check.   Home Site: Any non-""Dragon's lair"" Ruins & Lairs "
Doeth - Durthak	MEWH	mewh_doethdurthak.jpg	Character	character	Half-orc Orc	Minion	Rare	1	-	Warrior Sage	4.0	0.0	-	4.0	9.0	-	Any Dark-hold 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Half-orc. Discard on a body check result of 9.   ""'Go and ask Ferny where your handsome friend is!'""-LotRI  Home Site: Any Dark-hold "
Euog - Ulzog	MEWH	mewh_euogulzog.jpg	Character	Leader	Half-orc Orc	Minion	Rare	2	-	Warrior Diplomat	5.0	1.0	-	5.0	9.0	-	Any Dark-hold 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Half-orc. Leader. Discard on a body check result of 9. +2 direct influence against Orcs and Orc factions.  ""'If you pick up with a horse-thief...you ought to pay for all the damage yourselves and not come shouting at me.'""-LotRI  Home Site: Any Dark-hold "
Fallen AL	MEWH	mewh_fallenal.jpg	Character	Avatar	-	Fallen-wizard	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	-
Gandalf	MEWH	mewh_gandalf.jpg	Character	Avatar	Wizard	Fallen-wizard	Common	-	Gandalf	Warrior Scout Sage Diplomat Spirit-magic Spell	-	9.0	18.0	6.0	9.0	-	Any Free-hold 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Can use spirit-magic. May untap at the end of your organization phase. Your characters and hero allies are each worth full Marshaling points. Gandalf may tap to ""test"" a ring in his company.   ""'Yet the way of the Ring to my heart is by pity, pity for weakness and the desire of strength to do good.'""-LotRI  Home Site: Any Free-hold "
Ill-favoured Fellow	MEWH	mewh_illfavouredfellow.jpg	Character	character	Half-orc Orc	Minion	Common	1	-	Warrior Ranger	3.0	0.0	-	2.0	9.0	-	Any Dark-hold 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Half-orc. Discard on a body check result of 9.  ""One of the travelers, a squint-eyed ill-favoured fellow, was foretelling that more and more people would be coming north in the near future."" -LotRI  Home Site: Any Dark-hold "
Lugdush	MEWH	mewh_lugdush.jpg	Character	character	Uruk-hai Orc	Minion	Uncommon	1	-	Warrior Scout	4.0	0.0	-	5.0	8.0	-	Isengard 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Uruk-hai. Discard on a body check result of 8.  ""'You, Lugdush, get two others and stand guard over them."" -LotRIII  Home Site: Isengard "
Pallando	MEWH	mewh_pallando.jpg	Character	Avatar	Wizard	Fallen-wizard	Common	-	Pallando	Warrior Ranger Sage Diplomat Spirit-magic Spell	-	7.0	20.0	5.0	9.0	-	The White Towers 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Can use spirit-magic. Your Man, Dwarf, Elf, Dunedain, Hobbit, Orc, and Troll factions are each worth 2 Marshaling points. You may keep one more card than normal in your hand.  ""'Slay whom your lord names as enemies, and be content. Meddle not in policies which you do not understand.'""-LotRIII  Home Site: The White Towers "
Radagast	MEWH	mewh_radagast.jpg	Character	Avatar	Wizard	Fallen-wizard	Common	-	Radagast	Warrior Scout Ranger Diplomat Spell	-	5.0	22.0	6.0	9.0	-	Rhosgobel 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Unique. Your unique factions that are neither Man, Dwarf, Dunedain, Hobbit, Orc, nor Troll are each worth 2 Marshaling points. Your hero allies each are worth full Marshaling points. Hero allies Radagast controls have no movement restrictions. When Radagast's new site is revealed, he may draw one additional card for each Wilderness [w] in his company's site path.   Home Site: Rhosgobel 
Saruman	MEWH	mewh_saruman.jpg	Character	Avatar	Wizard	Fallen-wizard	Common	-	Saruman	Scout Ranger Sage Diplomat Sorcery Spell	-	12.0	15.0	6.0	9.0	1.0	Isengard 	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Unique. Can use sorcery. Your non-weapon/non-armor/non-shield/non-helmet items are each worth full Marshaling points. May tap to use a Palantir he bears. -1 to all corruption checks. At the beginning of your end-of-turn phase, you may tap Saruman to take one spell or sorcery card from your discard pile to your hand.   Home Site: Isengard 
